Date,Open,High,Low,Close,Volume
2015-03-27,17.83,17.91,16.85,17.23,16537500
2015-04-03,17.39,17.49,16.74,17.12,14012500
2015-04-10,16.97,17.57,16.84,17.46,16212500
2015-04-17,17.43,17.63,17.02,17.4,14748000
2015-04-24,17.56,18.38,17.54,18.2,28508500
2015-05-01,18.25,18.32,17.07,17.43,24423000
2015-05-08,17.48,17.66,16.82,17.38,20322000
2015-05-15,17.37,17.7,17.14,17.7,15529000
2015-05-22,17.68,18.17,17.68,18.1,14847000
2015-05-29,18.06,18.11,17.38,17.43,11590000
2015-06-05,17.51,18.06,17.32,17.6,16717500
2015-06-12,17.55,18.1,17.38,18.04,16327000
2015-06-19,17.91,18.79,17.86,18.49,18612000
2015-06-26,18.61,18.8,18.28,18.55,13759000
2015-07-03,18.42,18.5,17.88,18.06,14947500
2015-07-10,17.91,18.32,17.5,18.23,26486500
2015-07-17,18.35,19.01,18.34,18.9,18100000
2015-07-24,18.74,19.26,18.54,18.71,38201500
2015-07-31,18.74,18.77,18.24,18.5,17614000
2015-08-07,18.55,18.8,18.08,18.34,16715500
2015-08-14,18.54,18.95,18.25,18.62,15226000
2015-08-21,18.6,18.9,17.1,17.12,22484000
2015-08-28,15.94,17.79,15.0,17.08,42532000
2015-09-04,17.03,17.31,16.34,16.64,30837000
2015-09-11,17.01,17.61,16.85,17.59,17476000
2015-09-18,17.52,17.67,17.06,17.25,28632500
2015-09-25,17.28,17.54,16.2,16.79,49799000
2015-10-02,16.63,17.37,16.01,17.36,42151500
2015-10-09,17.54,17.95,17.25,17.93,28042500
2015-10-16,17.79,17.79,16.7,17.04,33287000
2015-10-23,17.0,18.45,16.96,18.09,41814500
2015-10-30,18.18,18.6,17.91,18.48,21805000
2015-11-06,18.48,18.8,18.24,18.68,21438500
2015-11-13,18.65,18.67,17.01,17.04,20863500
2015-11-20,17.05,18.19,16.97,18.16,23360000
2015-11-27,18.2,18.5,18.08,18.28,11487000
2015-12-04,18.26,18.27,17.06,17.61,24472000
2015-12-11,17.64,18.28,17.4,17.58,23559500
2015-12-18,17.65,17.82,17.01,17.14,28360000
2015-12-25,17.17,17.37,16.79,17.13,14949500
2016-01-01,17.01,17.6,16.95,17.1,10190000
2016-01-08,16.7,17.02,16.14,16.37,34357500
2016-01-15,16.5,17.07,16.04,16.3,52026500
2016-01-22,16.44,17.08,16.01,16.97,34654500
2016-01-29,16.93,17.71,15.68,17.66,45814000
2016-02-05,17.49,17.61,16.11,16.16,38058000
2016-02-12,16.02,16.76,15.61,16.7,30353500
2016-02-19,16.89,17.33,16.62,16.92,18311000
2016-02-26,17.06,17.42,16.66,16.96,21887000
2016-03-04,16.94,17.59,16.81,17.46,20519000
2016-03-11,17.33,18.11,17.02,18.06,27372000
2016-03-18,17.94,18.15,17.57,17.86,21758000
2016-03-25,17.9,18.0,17.65,17.74,11891000
2016-04-01,17.83,18.39,17.7,18.36,18195500
2016-04-08,18.33,18.4,17.29,17.38,20130000
2016-04-15,17.48,18.33,17.35,17.89,31027500
2016-04-22,17.87,19.45,17.69,18.89,44321500
2016-04-29,18.8,19.26,18.68,18.93,31566000
2016-05-06,19.03,19.2,18.53,18.71,19743000
2016-05-13,18.82,19.06,18.34,18.4,19962000
2016-05-20,18.41,18.87,18.16,18.78,20835000
2016-05-27,18.78,19.36,18.64,19.35,14072000
2016-06-03,19.32,19.4,18.86,19.03,15658000
2016-06-10,19.05,19.37,18.48,18.57,28254000
2016-06-17,18.57,18.75,18.08,18.32,24937000
2016-06-24,18.5,18.8,17.96,18.36,18857500
2016-07-01,18.25,19.08,18.1,18.49,46085500
2016-07-08,18.46,18.78,18.24,18.74,17432500
2016-07-15,18.75,18.92,18.38,18.4,23595500
2016-07-22,18.45,18.72,17.71,18.3,42266000
2016-07-29,18.28,18.4,17.83,18.33,24309500
2016-08-05,18.26,18.42,17.15,17.41,33631500
2016-08-12,17.43,17.44,16.91,17.29,33030000
2016-08-19,17.3,17.42,16.8,17.15,21583000
2016-08-26,17.1,17.24,16.8,16.92,27759000
2016-09-02,16.92,17.25,16.69,17.01,25005500
2016-09-09,16.93,16.93,13.63,13.68,134554000
2016-09-16,13.6,13.9,13.6,13.63,57201000
2016-09-23,13.65,13.73,13.35,13.67,38227500
2016-09-30,13.67,13.89,13.44,13.47,50445500
2016-10-07,13.4,13.68,13.29,13.58,40986500
2016-10-14,13.66,13.78,13.36,13.45,45078000
2016-10-21,13.45,13.48,12.64,12.99,80659500
2016-10-28,13.01,13.08,12.32,12.38,32545000
2016-11-04,12.39,13.41,12.3,13.09,58627000
2016-11-11,13.27,14.24,12.7,14.22,55798500
2016-11-18,14.31,14.68,14.16,14.58,52106500
2016-11-25,14.65,15.09,14.58,14.92,27825000
2016-12-02,14.9,15.46,14.89,15.12,34786500
2016-12-09,15.2,15.55,15.11,15.49,35118500
2016-12-16,15.35,15.49,15.04,15.27,46029000
2016-12-23,15.25,15.63,15.17,15.23,21890000
2016-12-30,15.29,15.43,15.07,15.16,11988000
2017-01-06,15.38,15.45,14.99,15.03,28237500
2017-01-13,15.04,15.47,14.94,15.21,22312000
2017-01-20,15.21,15.65,14.85,15.04,24741000
2017-01-27,14.97,15.22,14.81,14.87,28326000
2017-02-03,14.84,15.2,14.32,14.66,83473000
2017-02-10,14.63,14.92,14.4,14.85,53238000
2017-02-17,14.9,14.91,14.1,14.44,52286000
2017-02-24,14.58,14.69,14.14,14.23,42888000
2017-03-03,14.25,14.6,14.02,14.48,55269500
2017-03-10,14.48,14.62,14.22,14.5,33506500
2017-03-17,14.5,14.63,14.04,14.27,45611500
2017-03-24,14.26,14.32,13.55,13.8,52452000
2017-03-31,13.7,13.85,13.54,13.79,38166500
2017-04-07,13.79,14.02,13.51,13.99,55346000
2017-04-14,14.0,14.31,12.7,12.71,87489500
2017-04-21,12.77,13.14,12.61,13.12,51074500
2017-04-28,13.23,13.4,12.22,12.38,82962500
2017-05-05,12.43,12.63,12.21,12.39,53504500
2017-05-12,12.47,12.47,11.89,12.01,38024000
2017-05-19,12.06,12.13,11.48,11.51,50099000
2017-05-26,11.52,11.54,10.57,10.98,75352500
2017-06-02,10.93,11.24,10.79,11.12,51065500
2017-06-09,11.14,11.49,10.85,11.4,77147500
2017-06-16,11.42,11.86,10.9,11.09,65667000
2017-06-23,11.14,11.22,10.42,10.53,56504000
2017-06-30,10.53,10.88,10.42,10.84,40054000
2017-07-07,10.94,11.08,10.18,10.21,51946000
2017-07-14,10.2,10.44,9.97,10.3,73117500
2017-07-21,10.31,10.64,10.26,10.52,55093500
2017-07-28,10.51,11.67,10.27,11.32,104362500
2017-08-04,11.35,11.44,11.0,11.4,46552500
2017-08-11,11.39,11.43,10.53,10.7,46757500
2017-08-18,10.76,11.07,10.37,10.94,60754500
2017-08-25,10.93,12.01,10.84,11.92,77129000
2017-09-01,11.94,12.03,11.62,11.91,46267000
2017-09-08,11.96,12.2,11.8,12.06,47401500
2017-09-15,12.11,12.64,12.06,12.63,47752500
2017-09-22,12.64,12.68,11.98,12.22,47806000
2017-09-29,12.24,12.68,12.22,12.66,33957000
2017-10-06,12.4,12.7,12.18,12.21,35308500
2017-10-13,12.22,12.25,11.52,11.76,50449500
2017-10-20,11.76,12.0,11.61,11.78,44055500
2017-10-27,11.75,11.9,10.95,11.65,103907500
2017-11-03,11.65,12.2,11.58,11.79,58983500
2017-11-10,11.82,12.67,11.74,12.53,45194000
2017-11-17,12.49,12.92,12.15,12.9,45164000
2017-11-24,12.96,13.16,12.79,12.86,31863500
