Date,Open,High,Low,Close,Volume
2015-03-27,17.78,17.85,16.16,17.03,5497700
2015-04-03,17.16,17.75,16.68,17.72,3123800
2015-04-10,17.62,17.85,16.68,17.08,2467500
2015-04-17,16.99,17.98,16.77,17.43,3176700
2015-04-24,17.66,17.67,16.66,16.7,2507700
2015-05-01,16.82,16.95,14.38,15.15,5662000
2015-05-08,15.4,16.27,14.59,16.17,3585800
2015-05-15,16.45,16.95,14.89,15.58,8343800
2015-05-22,15.79,16.16,14.98,15.6,5754600
2015-05-29,15.42,15.79,15.02,15.43,3080400
2015-06-05,15.51,15.87,14.91,14.99,2433100
2015-06-12,15.0,15.42,13.82,15.24,4569100
2015-06-19,14.98,16.19,14.85,16.02,3189100
2015-06-26,16.57,17.0,15.74,15.81,2975300
2015-07-03,15.46,15.77,14.87,15.12,1716200
2015-07-10,15.01,15.2,13.25,13.85,4014700
2015-07-17,14.22,14.26,13.38,13.51,3549700
2015-07-24,13.58,14.32,12.84,13.76,4090900
2015-07-31,14.09,14.16,12.89,13.26,3931300
2015-08-07,13.29,14.44,12.42,14.1,5001200
2015-08-14,14.34,14.94,13.62,13.92,2550300
2015-08-21,13.8,14.42,12.52,12.56,2176400
2015-08-28,11.0,12.57,10.68,12.29,3452100
2015-09-04,12.01,13.24,11.65,12.53,2857300
2015-09-11,13.49,14.46,13.33,13.97,3963000
2015-09-18,13.96,14.14,13.6,13.8,1425800
2015-09-25,13.66,13.88,12.4,12.5,1749200
2015-10-02,12.43,13.1,12.04,12.7,1475700
2015-10-09,12.76,13.5,12.6,13.19,1838800
2015-10-16,13.07,13.19,12.32,12.9,1834900
2015-10-23,12.89,14.08,12.65,13.79,2584700
2015-10-30,13.65,14.2,13.26,13.36,2043400
2015-11-06,13.55,14.49,13.28,14.4,1873400
2015-11-13,14.2,15.7,14.04,14.89,4000100
2015-11-20,14.76,16.6,14.67,16.0,3232300
2015-11-27,15.78,16.36,15.41,15.97,1761200
2015-12-04,15.84,16.1,15.35,15.88,1523400
2015-12-11,15.64,15.87,15.0,15.02,1569300
2015-12-18,14.65,15.73,13.88,14.95,3281500
2015-12-25,15.12,15.24,14.85,15.03,1035600
2016-01-01,14.8,15.11,14.05,14.06,1432300
2016-01-08,13.8,14.5,12.51,12.58,3155700
2016-01-15,13.11,13.25,10.36,11.5,10026800
2016-01-22,12.01,12.6,11.12,11.99,3608600
2016-01-29,12.28,12.73,11.75,12.57,2537500
2016-02-05,12.5,12.95,12.11,12.54,2342800
2016-02-12,12.24,12.27,11.04,11.41,1602700
2016-02-19,11.68,12.7,11.64,12.5,987100
2016-02-26,12.5,13.93,12.5,13.65,2242200
2016-03-04,13.53,13.87,12.95,13.57,1912400
2016-03-11,13.38,13.78,12.76,13.29,2150200
2016-03-18,13.16,13.33,12.46,12.82,1878200
2016-03-25,12.66,12.69,11.5,11.84,2906200
2016-04-01,11.84,12.59,11.55,12.06,2561100
2016-04-08,12.13,12.4,11.45,11.53,1676500
2016-04-15,11.65,11.85,11.06,11.37,2007700
2016-04-22,11.37,12.52,11.26,12.42,1988300
2016-04-29,12.16,12.43,11.56,11.69,1528200
2016-05-06,11.75,11.81,11.25,11.76,1631600
2016-05-13,12.44,12.58,11.03,11.27,2877900
2016-05-20,11.27,11.86,11.21,11.75,1370900
2016-05-27,12.01,12.89,12.01,12.6,1790900
2016-06-03,12.9,13.59,12.88,13.05,1700400
2016-06-10,13.08,13.28,12.42,12.47,1576100
2016-06-17,12.35,12.59,11.87,11.96,1453900
2016-06-24,12.09,12.58,11.66,12.01,2120200
2016-07-01,11.82,12.52,11.25,12.4,2216600
2016-07-08,12.21,12.6,11.74,12.48,846700
2016-07-15,12.41,13.1,12.41,13.0,1170800
2016-07-22,13.01,13.42,12.65,12.92,3363000
2016-07-29,12.97,13.71,12.94,13.48,2157600
2016-08-05,13.6,16.0,13.46,15.19,4930000
2016-08-12,15.03,15.41,14.77,14.98,2993600
2016-08-19,14.9,15.22,14.86,15.13,1997400
2016-08-26,15.16,15.63,15.15,15.34,2864000
2016-09-02,15.49,16.13,15.38,15.98,2398400
2016-09-09,16.0,16.01,15.0,15.18,3523200
2016-09-16,14.97,15.4,14.86,15.1,2295900
2016-09-23,15.23,15.62,14.83,15.31,1883500
2016-09-30,15.19,15.39,14.85,15.18,4617300
2016-10-07,15.2,16.26,15.04,16.17,5638300
2016-10-14,16.4,16.48,15.58,15.85,2258400
2016-10-21,15.87,16.1,15.68,15.86,1849100
2016-10-28,15.92,16.43,15.57,15.65,2080800
2016-11-04,15.6,15.73,15.22,15.43,2095500
2016-11-11,15.62,16.13,15.3,16.09,2845500
2016-11-18,16.22,18.45,16.12,18.0,6990000
2016-11-25,18.03,18.61,18.03,18.27,2364400
2016-12-02,18.12,18.2,17.36,17.6,3912500
2016-12-09,17.83,19.27,17.75,19.03,4694700
2016-12-16,18.71,19.24,18.38,19.02,3832500
2016-12-23,19.23,20.04,19.2,19.5,4662100
2016-12-30,19.41,19.61,18.98,19.03,1748300
2017-01-06,19.25,19.61,19.02,19.38,1851500
2017-01-13,19.21,20.6,19.19,20.39,4065100
2017-01-20,20.31,20.63,19.92,20.36,2942200
