Date,Open,High,Low,Close,Volume
2015-04-03,22.78,23.83,22.78,23.69,54086900
2015-04-10,23.2,23.8,23.08,23.5,56295200
2015-04-17,23.51,23.69,22.65,23.22,86230100
2015-04-24,23.4,25.31,23.16,24.91,95780200
2015-05-01,24.89,25.77,24.36,24.74,78590700
2015-05-08,24.56,24.74,24.17,24.55,49326100
2015-05-15,24.58,24.67,24.14,24.56,38343000
2015-05-22,24.48,24.67,24.15,24.2,49253700
2015-05-29,24.17,24.7,23.94,24.28,48859300
2015-06-05,24.18,24.24,22.75,22.86,59764000
2015-06-12,22.87,23.76,22.6,23.67,62766100
2015-06-19,23.39,23.83,23.2,23.4,60842800
2015-06-26,23.66,24.33,23.44,23.63,55290400
2015-07-03,22.67,23.33,22.36,23.15,50619400
2015-07-10,23.0,23.26,22.11,22.57,52754100
2015-07-17,22.69,23.09,21.7,23.03,74306100
2015-07-24,23.03,23.16,21.61,21.64,70257000
2015-07-31,21.57,22.78,21.33,22.11,69764300
2015-08-07,21.9,21.92,20.99,21.03,62874300
2015-08-14,21.12,21.89,20.18,20.38,84269800
2015-08-21,19.9,20.31,18.87,18.88,74074300
2015-08-28,17.74,20.08,17.32,20.0,107329400
2015-09-04,20.16,20.24,19.25,19.67,55056900
2015-09-11,19.96,20.66,19.27,19.9,48065900
2015-09-18,19.99,21.02,19.89,20.61,56183700
2015-09-25,20.53,20.72,19.56,20.05,69775200
2015-10-02,19.97,21.0,19.49,20.76,68675200
2015-10-09,21.06,22.43,20.79,21.95,57155200
2015-10-16,22.07,22.79,21.66,22.16,69787400
2015-10-23,22.08,22.75,21.96,22.47,43882200
2015-10-30,22.47,22.52,21.52,21.96,45880400
2015-11-06,21.86,23.66,21.77,22.82,50086300
2015-11-13,22.75,22.98,21.57,21.89,34841600
2015-11-20,21.83,22.94,21.8,22.83,35435300
2015-11-27,22.92,22.94,22.16,22.45,23851800
2015-12-04,22.44,23.37,22.38,23.31,37938300
2015-12-11,23.45,23.5,22.16,22.18,37929700
2015-12-18,22.33,23.29,22.07,22.93,42301300
2015-12-25,22.93,23.28,22.75,23.15,17695000
2016-01-01,23.15,23.23,22.57,22.75,13709200
2016-01-08,22.24,22.42,20.77,20.81,45383900
2016-01-15,21.17,21.87,20.45,21.1,65012800
2016-01-22,21.63,21.95,20.74,21.93,43096500
2016-01-29,21.71,22.4,21.48,22.35,38785400
2016-02-05,22.18,23.36,22.15,22.75,47758800
2016-02-12,22.48,22.91,21.79,22.24,40264900
2016-02-19,22.62,24.19,22.59,23.78,47530400
2016-02-26,24.02,24.13,22.83,23.77,33318000
2016-03-04,23.57,24.95,23.46,24.65,37536200
2016-03-11,24.4,25.38,24.06,25.35,40556500
2016-03-18,25.31,26.25,24.72,26.04,37296700
2016-03-25,25.88,26.06,25.44,25.73,22756400
2016-04-01,25.72,26.62,25.44,26.12,23207900
2016-04-08,26.13,26.13,25.02,25.28,37237400
2016-04-15,25.7,26.21,25.09,25.46,41145800
2016-04-22,25.38,25.68,24.74,25.07,37769400
2016-04-29,25.15,25.35,23.42,23.59,52120800
2016-05-06,23.58,23.75,23.16,23.41,35837600
2016-05-13,23.4,23.49,22.75,22.82,29262000
2016-05-20,22.97,24.02,22.9,23.91,30949100
2016-05-27,24.63,25.01,24.21,24.8,33151200
2016-06-03,24.83,25.6,24.53,25.53,23356700
2016-06-10,25.6,26.58,25.43,25.86,32836900
2016-06-17,25.55,26.03,25.38,25.85,31983700
2016-06-24,26.32,26.92,25.51,25.68,40363300
2016-07-01,24.64,26.65,24.36,26.53,49206200
2016-07-08,26.16,26.8,25.75,26.73,22849800
2016-07-15,27.16,27.37,26.64,27.01,43285200
2016-07-22,27.31,27.82,27.15,27.74,30055800
2016-07-29,27.49,28.49,27.49,27.78,37149100
2016-08-05,28.35,28.85,27.91,28.79,26026700
2016-08-12,28.76,29.45,28.71,29.24,36237200
2016-08-19,29.38,29.45,28.51,28.64,26594200
2016-08-26,28.3,28.9,28.22,28.64,28964400
2016-09-02,28.58,29.21,28.53,29.14,24937200
2016-09-09,29.51,30.55,28.55,28.59,35550000
2016-09-16,28.55,29.27,28.2,28.91,31425400
2016-09-23,29.91,30.95,29.87,30.12,34845700
2016-09-30,30.02,30.68,29.65,30.59,25907100
2016-10-07,30.64,31.21,30.36,31.18,25361600
2016-10-14,31.19,31.48,29.52,30.66,54701000
2016-10-21,30.52,31.15,30.38,31.08,30965800
2016-10-28,31.14,31.62,30.75,30.77,22559100
2016-11-04,30.93,31.2,30.02,30.24,23625500
2016-11-11,30.72,31.5,28.76,29.93,34666700
2016-11-18,29.28,30.02,28.77,29.47,40691300
2016-11-25,29.6,30.15,29.46,29.66,19533900
2016-12-02,29.71,29.94,28.34,28.86,38788400
2016-12-09,28.94,30.63,28.87,30.12,20682900
2016-12-16,29.97,30.64,29.39,29.48,27129500
2016-12-23,29.49,29.56,28.5,29.05,30304700
2016-12-30,29.0,29.32,28.62,28.75,16933000
2017-01-06,29.25,29.91,29.06,29.63,20326500
2017-01-13,29.79,30.3,28.98,29.44,46264300
2017-01-20,29.61,30.26,29.39,30.07,31265200
2017-01-27,30.31,31.45,30.21,31.25,36490100
2017-02-03,31.07,31.31,30.62,30.97,29597000
2017-02-10,30.95,30.97,30.17,30.71,32806200
2017-02-17,30.94,32.49,30.94,32.34,40704900
2017-02-24,32.39,32.47,31.47,31.92,19749900
2017-03-03,31.82,31.82,30.54,30.85,31474800
2017-03-10,30.8,31.52,30.71,31.06,28785900
2017-03-17,31.27,32.76,31.2,32.59,27193100
2017-03-24,32.8,33.53,32.37,32.81,32809900
2017-03-31,32.85,33.43,32.57,32.84,23016500
2017-04-07,32.94,33.33,32.71,32.87,20509700
2017-04-14,32.87,32.87,31.82,31.83,26149100
2017-04-21,32.04,32.14,31.49,32.08,25894800
2017-04-28,32.58,33.3,32.49,33.07,28235100
2017-05-05,33.16,34.44,33.14,34.42,27612200
2017-05-12,34.7,35.8,34.63,35.37,35695400
2017-05-19,35.36,35.39,34.39,35.2,39546000
2017-05-26,35.39,35.79,35.26,35.51,27964200
2017-06-02,35.68,36.23,35.1,36.18,23677700
2017-06-09,36.56,36.9,35.2,35.79,36019300
2017-06-16,35.79,35.95,35.01,35.87,35098500
2017-06-23,36.13,36.92,36.07,36.73,27672500
2017-06-30,36.44,36.52,34.53,34.96,39024200
2017-07-07,35.04,35.17,34.31,34.63,28124300
2017-07-14,34.61,36.35,34.55,36.25,43432200
2017-07-21,36.03,36.42,35.64,35.85,29889000
2017-07-28,36.11,36.61,35.7,35.86,27382100
2017-08-04,36.03,36.47,35.65,36.03,27250700
2017-08-11,36.26,36.96,35.34,36.14,21211600
2017-08-18,36.03,36.49,35.61,35.86,17944800
2017-08-25,35.91,37.06,35.63,36.85,17266500
2017-09-01,36.59,37.24,36.5,37.22,16425100
2017-09-08,37.25,37.68,36.65,37.5,20490000
2017-09-15,37.39,37.94,37.35,37.65,28472600
2017-09-22,37.87,38.43,37.44,37.77,33688000
2017-09-29,37.5,37.6,36.79,37.55,28130300
2017-10-06,37.83,38.85,37.77,38.46,19083000
2017-10-13,38.6,40.86,38.5,40.82,24528100
2017-10-20,40.88,41.72,40.5,41.12,27904500
2017-10-27,41.37,42.18,40.7,42.15,21178300
2017-11-03,42.36,42.66,41.59,42.19,22537700
2017-11-10,42.19,42.71,41.29,41.72,20804500
2017-11-17,41.72,42.42,41.28,42.07,15445200
2017-11-24,42.07,43.02,41.96,42.99,12392100
2017-12-01,41.67,41.68,39.0,39.7,41398600
2017-12-08,40.05,40.13,38.52,39.0,36592000
2017-12-15,39.19,39.65,39.08,39.5,26881700
2017-12-22,39.38,39.66,39.12,39.63,22618600
2017-12-29,39.31,40.22,38.81,39.65,14104800
2018-01-05,40.51,42.57,40.42,42.46,22154600
