Date,Open,High,Low,Close,Volume
2015-04-03,16.59,16.95,16.42,16.86,1390200
2015-04-10,16.99,17.39,16.92,17.26,1825000
2015-04-17,17.27,17.49,17.08,17.23,1901000
2015-04-24,17.25,17.68,17.11,17.58,2391600
2015-05-01,17.67,17.77,17.1,17.25,1704400
2015-05-08,17.33,17.68,16.88,17.37,7957800
2015-05-15,17.38,17.68,17.15,17.28,4638200
2015-05-22,17.22,17.35,16.9,17.1,1960000
2015-05-29,17.12,17.19,16.81,17.02,1900800
2015-06-05,17.0,17.2,16.84,16.99,2136000
2015-06-12,16.84,17.02,16.59,16.61,1939200
2015-06-19,16.56,16.97,16.49,16.78,2218200
2015-06-26,17.11,17.49,16.98,17.46,2273800
2015-07-03,17.17,17.42,17.05,17.38,2860000
2015-07-10,17.2,17.39,17.07,17.34,3488200
2015-07-17,17.28,17.45,17.16,17.32,2056400
2015-07-24,17.33,17.33,16.6,16.92,2809600
2015-07-31,16.9,17.32,16.8,17.08,2216600
2015-08-07,17.06,17.2,16.63,16.97,3054800
2015-08-14,16.82,17.12,16.47,17.0,2813000
2015-08-21,16.91,17.17,16.67,16.7,2521800
2015-08-28,15.98,16.5,15.64,16.35,3355600
2015-09-04,16.17,16.42,15.81,16.18,3917000
2015-09-11,16.19,16.26,15.73,15.82,1498600
2015-09-18,15.84,16.17,15.52,16.05,2736400
2015-09-25,16.11,16.27,15.77,16.01,1939200
2015-10-02,15.96,16.18,15.61,16.14,3206800
2015-10-09,16.27,16.6,15.96,16.47,2146400
2015-10-16,16.5,16.62,16.26,16.36,2330200
2015-10-23,16.31,16.92,16.23,16.78,1767600
2015-10-30,16.86,16.92,16.57,16.68,2160200
2015-11-06,16.69,16.91,15.53,15.61,2982400
2015-11-13,15.58,15.63,15.05,15.09,2012200
2015-11-20,15.1,15.81,15.02,15.65,1630400
2015-11-27,15.64,15.74,15.42,15.68,1563600
2015-12-04,15.73,16.02,15.49,15.65,2636800
2015-12-11,15.48,15.54,14.16,14.22,2750000
2015-12-18,14.24,14.8,13.19,13.8,4746800
2015-12-25,13.9,14.19,13.72,14.09,2549800
2016-01-01,14.06,14.24,13.78,13.82,4716600
2016-01-08,13.65,13.75,13.17,13.21,3427600
2016-01-15,13.3,13.32,12.5,12.52,2649200
2016-01-22,12.62,13.3,12.17,13.27,3090600
2016-01-29,13.21,14.02,12.94,13.86,3524000
2016-02-05,13.89,14.65,13.68,14.54,3012000
2016-02-12,14.4,14.55,13.73,14.22,3978400
2016-02-19,14.3,14.43,13.88,14.31,2436000
2016-02-26,14.51,14.71,14.19,14.49,2311000
2016-03-04,14.47,14.8,14.35,14.7,2006400
2016-03-11,14.64,15.48,14.62,15.42,2686200
2016-03-18,15.36,16.03,15.18,15.77,2316400
2016-03-25,15.71,15.96,15.48,15.72,1741200
2016-04-01,15.76,16.48,15.68,16.2,1821400
2016-04-08,16.15,16.23,15.67,15.9,1720600
2016-04-15,16.03,16.19,15.68,15.73,2589600
