Date,Open,High,Low,Close,Volume
2019-04-05,34.26,36.8,33.68,36.58,37152300
2019-04-12,37.0,43.31,36.59,41.87,15235700
2019-04-19,41.85,44.25,38.21,39.36,5484800
2019-04-26,39.27,41.06,38.27,40.23,3784500
2019-05-03,39.36,41.92,38.36,39.17,3613500
2019-05-10,38.34,43.99,37.51,43.0,4814000
2019-05-17,42.17,46.33,40.29,43.29,4154200
2019-05-24,42.95,45.17,42.6,44.25,2022700
2019-05-31,44.47,45.19,42.33,45.09,2005600
2019-06-07,45.45,45.79,42.28,42.9,2236500
2019-06-14,43.1,43.81,40.62,41.44,1715100
2019-06-21,41.38,43.7,41.0,43.21,4226800
2019-06-28,43.49,44.5,40.51,43.81,3285900
2019-07-05,44.3,47.23,42.54,46.32,2328300
2019-07-12,46.51,49.98,45.53,48.25,2822800
2019-07-19,48.45,50.48,46.78,49.5,1468500
2019-07-26,49.6,50.24,46.01,48.17,1846100
2019-08-02,48.46,49.5,44.51,46.5,2598900
2019-08-09,45.78,48.75,43.57,45.23,2595400
2019-08-16,44.9,46.58,44.21,44.88,1541300
2019-08-23,45.26,46.35,43.76,44.21,1558700
2019-08-30,44.14,44.57,42.3,42.59,2205800
2019-09-06,42.27,43.37,39.92,41.99,2403100
2019-09-13,42.06,42.55,39.06,39.13,3497400
2019-09-20,38.93,40.74,38.35,40.25,4127000
2019-09-27,39.99,40.34,36.08,36.52,4875000
2019-10-04,36.42,40.09,35.56,39.65,6140500
2019-10-11,39.54,42.0,38.32,40.27,3108400
2019-10-18,40.23,44.19,38.98,41.5,13756800
2019-10-25,41.41,43.81,39.99,40.85,7643600
2019-11-01,41.07,42.56,40.85,41.65,4870000
2019-11-08,41.69,43.01,39.74,42.69,4371600
2019-11-15,42.71,44.01,41.66,43.15,2632100
2019-11-22,43.04,45.45,43.0,44.59,3309700
2019-11-29,44.83,45.8,43.76,44.73,3580400
2019-12-06,44.76,45.94,43.61,45.41,2855500
2019-12-13,45.42,45.81,44.41,44.82,2500700
2019-12-20,45.8,47.17,45.23,46.76,3904600
2019-12-27,46.87,47.31,45.91,46.75,1517500
2020-01-03,46.69,47.41,46.24,46.67,1343300
2020-01-10,46.55,47.01,45.08,46.17,3883500
2020-01-17,46.24,46.73,45.1,45.75,2885700
2020-01-24,45.51,46.14,44.34,45.04,2650100
2020-01-31,44.67,46.29,44.02,46.18,2383800
2020-02-07,46.65,47.1,44.67,44.98,3597900
2020-02-14,44.93,50.0,44.46,49.45,6616300
2020-02-21,49.63,52.18,48.4,51.79,4806000
2020-02-28,50.68,52.74,47.4,48.22,5311000
2020-03-06,48.78,53.35,48.3,49.58,5030000
2020-03-13,47.01,49.99,39.65,43.4,5322700
2020-03-20,39.63,43.99,33.23,39.27,5814800
2020-03-27,39.04,43.95,36.03,42.1,4274900
2020-04-03,42.22,46.32,40.09,45.44,3442700
2020-04-10,46.33,50.98,45.88,47.44,2920300
2020-04-17,47.5,55.27,45.7,51.63,5221300
2020-04-24,51.64,53.77,49.99,53.0,8801200
2020-05-01,53.67,57.05,51.18,51.92,4250700
2020-05-08,52.25,58.32,51.96,58.18,3644100
2020-05-15,58.49,61.6,58.01,60.81,5412500
2020-05-22,61.7,63.59,60.1,62.52,2653500
2020-05-29,64.64,66.37,59.12,65.96,8663900
2020-06-05,65.74,69.06,60.53,62.17,7070100
2020-06-12,62.0,66.22,60.82,62.53,4797800
2020-06-19,61.48,64.85,61.01,64.42,4636800
2020-06-26,63.54,63.74,58.33,59.58,10317000
2020-07-03,59.28,60.88,57.64,58.29,5159700
