Date,Open,High,Low,Close,Volume
2015-04-03,34.09,34.64,33.52,33.98,6365700
2015-04-10,34.1,34.36,32.76,32.99,6577900
2015-04-17,32.94,33.11,32.18,32.58,5796400
2015-04-24,32.65,33.71,32.41,33.51,5661100
2015-05-01,33.63,34.01,32.49,32.95,11907200
2015-05-08,33.28,33.96,32.12,33.55,8068800
2015-05-15,33.45,33.63,32.31,33.36,5976600
2015-05-22,33.21,33.33,32.6,32.9,5860800
2015-05-29,32.88,33.24,32.48,32.56,7947000
2015-06-05,32.63,33.2,31.05,31.71,8236500
2015-06-12,31.76,32.74,31.43,32.55,7295100
2015-06-19,32.46,33.74,32.24,33.27,9904100
2015-06-26,33.35,33.59,32.24,32.59,11942400
2015-07-03,32.57,33.27,31.98,32.86,9222000
2015-07-10,32.72,33.53,32.65,33.03,11041400
2015-07-17,33.3,33.99,32.81,33.34,5194100
2015-07-24,33.23,33.88,33.16,33.47,6469000
2015-07-31,33.52,34.06,33.01,33.81,8855400
2015-08-07,33.89,34.52,33.53,34.35,7386100
2015-08-14,34.45,34.94,34.01,34.81,7633700
2015-08-21,34.82,35.68,33.88,33.88,12242900
2015-08-28,30.03,33.11,30.03,32.81,12062500
2015-09-04,32.76,32.99,30.92,31.16,8543700
2015-09-11,31.75,32.99,31.05,32.28,4776700
2015-09-18,32.37,34.35,32.02,33.7,8772400
2015-09-25,33.79,34.22,33.28,33.79,8034800
2015-10-02,33.71,35.06,33.08,35.03,10097600
2015-10-09,35.36,35.49,34.23,35.4,8909900
2015-10-16,35.46,35.97,34.88,35.78,6634700
2015-10-23,35.74,37.2,35.38,35.57,8577200
2015-10-30,35.65,36.47,34.31,34.46,9517900
2015-11-06,34.7,35.5,33.8,34.08,6343700
2015-11-13,33.65,34.76,33.18,34.53,7091800
2015-11-20,34.55,36.51,34.09,36.47,7711700
2015-11-27,36.47,37.89,36.1,37.72,5651900
2015-12-04,37.81,37.96,35.94,36.73,13437000
2015-12-11,36.74,36.9,35.16,35.91,7031500
2015-12-18,35.84,37.33,35.62,36.36,10627300
2015-12-25,36.62,37.02,36.19,36.93,4890000
2016-01-01,36.86,38.07,36.74,37.57,4398100
2016-01-08,37.52,37.63,35.91,35.99,8191500
2016-01-15,36.1,36.75,34.63,35.78,9151100
2016-01-22,35.84,36.31,34.19,35.71,7358200
2016-01-29,35.74,36.55,34.75,35.59,10281600
2016-02-05,35.34,37.19,34.96,35.02,12917700
2016-02-12,34.93,35.81,32.9,33.39,9219600
2016-02-19,33.82,34.4,33.32,34.16,7680400
2016-02-26,34.4,34.83,33.35,34.37,6142800
2016-03-04,34.42,36.55,34.33,34.76,59964000
2016-03-11,35.18,36.43,34.98,36.42,14096700
2016-03-18,36.41,38.34,36.22,37.8,13212300
2016-03-25,37.6,37.91,36.74,37.05,5422100
2016-04-01,37.07,38.6,37.05,38.38,6015900
2016-04-08,38.48,38.61,37.17,37.67,7035800
2016-04-15,37.31,37.42,35.2,36.29,9573400
2016-04-22,36.29,36.88,35.38,36.0,8031600
2016-04-29,35.78,37.21,34.23,34.92,12196000
2016-05-06,34.95,37.01,34.79,36.91,9387400
2016-05-13,37.0,37.66,36.22,36.28,7111100
2016-05-20,36.28,36.7,35.02,35.52,6738400
2016-05-27,35.59,36.34,35.37,36.16,5235000
2016-06-03,36.15,36.36,34.08,34.2,10336400
2016-06-10,33.93,34.05,32.97,33.74,11029600
2016-06-17,33.82,34.92,33.53,34.86,11922400
2016-06-24,35.09,35.99,34.21,34.75,9180500
2016-07-01,34.45,37.13,34.38,36.88,12613400
2016-07-08,36.88,37.49,36.35,37.09,5545100
2016-07-15,37.14,37.65,36.24,36.45,8713000
2016-07-22,36.5,37.31,36.35,37.16,6267800
2016-07-29,37.31,37.58,35.43,37.23,9609800
2016-08-05,37.38,37.81,36.64,36.88,7235100
2016-08-12,36.89,37.71,36.47,36.81,7421800
2016-08-19,36.82,37.25,35.81,36.06,7178100
2016-08-26,36.13,36.61,35.56,35.86,5629600
2016-09-02,35.99,36.77,35.48,36.24,7946200
2016-09-09,36.34,36.84,34.38,34.49,9616200
2016-09-16,34.38,35.24,34.11,34.69,11213000
2016-09-23,34.78,37.07,34.75,36.75,6827800
2016-09-30,36.63,37.06,35.97,35.99,6616800
2016-10-07,35.84,35.84,33.14,33.44,9081600
2016-10-14,33.46,34.31,33.4,33.78,6521600
2016-10-21,33.9,34.2,33.46,33.71,6394600
2016-10-28,33.9,34.34,32.79,33.85,9903100
2016-11-04,33.93,35.11,33.93,34.57,11273600
2016-11-11,34.97,35.24,33.15,34.03,9932900
2016-11-18,33.94,35.2,32.85,33.15,11479100
2016-11-25,33.23,33.79,33.01,33.52,4394300
2016-12-02,33.65,34.49,33.32,33.66,8963500
2016-12-09,33.68,34.73,33.35,34.24,8848300
2016-12-16,34.14,35.44,34.06,35.21,10437700
2016-12-23,35.38,36.02,34.88,35.57,5900300
2016-12-30,35.54,36.51,35.13,36.48,4229100
2017-01-06,36.67,36.78,35.6,36.43,8001200
2017-01-13,36.49,36.61,35.22,35.63,5728300
2017-01-20,35.7,36.29,35.61,36.07,4657300
2017-01-27,36.06,36.31,34.68,34.92,8647700
2017-02-03,35.61,35.74,34.44,34.66,13446600
2017-02-10,34.63,35.75,34.41,35.7,7081500
2017-02-17,35.72,35.72,34.76,35.59,6439500
2017-02-24,35.44,36.27,35.39,36.2,4141400
2017-03-03,36.28,36.64,35.45,35.9,6911500
2017-03-10,35.77,36.4,34.73,34.89,6616600
2017-03-17,35.01,36.34,34.93,36.17,7096100
2017-03-24,36.2,36.72,35.83,36.41,6393100
2017-03-31,36.32,36.49,35.63,36.26,6465900
2017-04-07,36.26,36.59,35.63,36.15,4842600
2017-04-14,36.12,36.62,35.99,36.03,4070800
2017-04-21,36.19,36.9,36.05,36.21,5044300
2017-04-28,36.46,37.54,35.43,37.34,10390900
2017-05-05,37.32,38.0,36.86,37.98,7227000
2017-05-12,38.08,38.11,37.12,37.66,7038000
2017-05-19,37.67,38.01,37.23,37.84,7720900
2017-05-26,37.92,38.63,37.77,38.33,4942500
2017-06-02,38.29,39.42,38.23,39.35,5910400
2017-06-09,39.23,40.29,39.1,40.22,6571300
2017-06-16,39.56,40.32,39.37,40.19,6817900
2017-06-23,40.26,40.71,39.46,39.67,6141300
2017-06-30,39.79,39.98,38.63,38.97,6910800
2017-07-07,39.11,39.71,38.0,38.17,4690300
2017-07-14,38.25,38.39,37.37,38.16,5130800
2017-07-21,38.14,39.45,38.12,39.37,5607200
2017-07-28,39.37,39.45,38.0,39.32,6687100
2017-08-04,39.33,39.38,38.61,38.64,5798600
2017-08-11,38.65,38.99,38.4,38.47,5313400
