Date,Open,High,Low,Close,Volume
2015-03-27,153.1,154.52,148.36,151.2,2889700
2015-04-03,152.84,153.02,148.42,151.33,2466700
2015-04-10,150.87,155.55,150.5,151.68,2374300
2015-04-17,151.72,156.3,151.62,152.05,3324400
2015-04-24,152.5,158.97,150.51,157.08,3218200
2015-05-01,156.97,157.47,150.0,154.27,2887600
2015-05-08,154.52,156.22,151.01,154.29,2702300
2015-05-15,154.0,155.22,149.12,151.0,3125000
2015-05-22,150.4,153.51,149.53,151.24,2733800
2015-05-29,150.9,159.85,150.14,152.62,8532200
2015-06-05,153.05,157.5,151.0,156.28,4585100
2015-06-12,156.46,156.51,152.22,155.32,2587900
2015-06-19,154.47,158.75,153.57,154.73,2742300
2015-06-26,155.79,158.1,153.89,157.98,3650100
2015-07-03,156.26,156.95,152.78,156.23,2755900
2015-07-10,154.79,163.7,154.25,163.11,5243700
2015-07-17,164.45,169.31,164.02,166.91,4160400
2015-07-24,167.85,171.21,166.25,169.54,2658700
2015-07-31,168.45,168.87,164.54,166.03,2942500
2015-08-07,167.23,167.99,163.26,165.61,2874700
2015-08-14,167.66,171.1,164.09,171.04,2859100
2015-08-21,171.12,176.77,162.17,162.57,4959400
2015-08-28,143.0,169.29,120.38,159.0,11653200
2015-09-04,157.28,160.87,153.02,157.7,4990500
2015-09-11,160.72,169.14,158.02,165.06,4574200
2015-09-18,164.77,170.0,160.77,167.23,4551600
2015-09-25,168.46,170.22,164.42,169.15,3251900
2015-10-02,168.02,168.35,160.59,165.76,4279200
2015-10-09,166.83,168.27,162.42,165.8,3770900
2015-10-16,166.73,167.38,158.04,166.11,3067700
2015-10-23,166.08,170.25,163.74,165.91,2740900
2015-10-30,166.01,175.72,165.96,173.96,3089800
2015-11-06,174.88,175.78,169.39,172.64,2547100
2015-11-13,172.27,174.67,151.52,155.2,4987700
2015-11-20,154.34,170.54,154.2,170.51,4326200
2015-11-27,170.77,173.0,169.17,170.98,2437000
2015-12-04,173.01,185.73,161.0,184.08,11508300
2015-12-11,184.64,186.65,179.01,182.47,4829300
2015-12-18,183.05,188.48,183.05,184.94,6142300
2015-12-25,186.46,187.3,184.53,184.93,2022300
2016-01-01,184.73,187.69,183.83,185.0,1960000
2016-01-08,182.67,186.49,179.13,182.17,4516300
2016-01-15,182.64,186.0,168.4,170.45,5379100
2016-01-22,171.98,180.58,168.53,179.73,4851600
2016-01-29,178.5,181.3,171.29,181.17,4319900
2016-02-05,179.92,182.01,155.81,159.71,6130300
2016-02-12,156.76,158.64,148.6,158.49,7377000
2016-02-19,160.61,162.89,146.77,150.07,8914300
2016-02-26,151.0,166.97,150.43,164.75,7357400
2016-03-04,165.0,171.19,164.0,168.97,4764700
2016-03-11,168.57,192.06,158.21,191.62,15219300
2016-03-18,189.52,192.38,186.6,191.39,5946500
2016-03-25,190.88,193.78,189.46,191.76,3067500
2016-04-01,191.84,195.61,190.74,194.18,2875900
2016-04-08,194.68,203.75,191.37,200.51,6484600
2016-04-15,201.51,207.75,200.63,204.06,16681300
2016-04-22,203.93,207.67,202.69,205.39,5008200
2016-04-29,205.08,212.92,203.95,208.28,5191400
2016-05-06,208.29,211.01,204.05,208.68,3728500
2016-05-13,205.65,210.25,202.28,205.2,4001400
2016-05-20,204.85,209.09,203.18,208.47,3882300
2016-05-27,208.97,237.53,205.95,233.15,9064000
2016-06-03,233.48,238.76,231.36,236.57,4572400
