Date,Open,High,Low,Close,Volume
2015-04-03,33.35,33.94,33.25,33.67,4566300
2015-04-10,33.26,33.89,33.1,33.88,6369100
2015-04-17,33.78,34.26,33.31,33.49,6142500
2015-04-24,33.6,33.79,33.05,33.68,5213100
2015-05-01,33.74,34.9,33.35,34.35,8895100
2015-05-08,34.44,35.03,34.39,34.65,7956500
2015-05-15,34.68,35.05,34.37,34.51,6410500
2015-05-22,34.51,36.0,34.51,34.94,7746100
2015-05-29,34.88,35.31,34.5,34.96,6200600
2015-06-05,35.07,36.37,34.83,36.09,7898300
2015-06-12,36.02,37.08,35.85,36.92,7131200
2015-06-19,36.42,37.07,36.38,36.54,7055200
2015-06-26,36.87,37.17,36.33,36.77,6335600
2015-07-03,36.27,36.37,35.58,36.02,6458300
2015-07-10,35.63,36.04,34.82,35.86,6714800
2015-07-17,36.14,36.71,35.93,36.37,4499500
2015-07-24,36.48,38.15,36.09,37.61,8727800
2015-07-31,37.08,37.54,35.68,35.84,9166400
2015-08-07,35.85,36.0,34.8,35.09,5534500
2015-08-14,35.57,36.55,34.74,36.15,8304800
2015-08-21,35.89,36.36,33.48,33.49,7136800
2015-08-28,32.16,34.0,29.81,33.58,17457700
2015-09-04,33.26,33.83,32.11,32.25,7815700
2015-09-11,32.97,33.73,32.41,32.79,5419300
2015-09-18,32.71,33.14,31.44,31.63,8539700
2015-09-25,31.74,32.3,30.91,32.01,6833500
2015-10-02,31.66,32.46,31.12,31.95,7524100
2015-10-09,32.17,33.35,32.02,32.97,5344900
2015-10-16,32.96,33.22,32.33,33.06,3968300
2015-10-23,32.88,33.7,32.62,33.54,6309200
2015-10-30,33.47,35.16,32.59,34.65,7954400
2015-11-06,34.7,36.19,34.34,36.09,6495600
2015-11-13,36.08,36.92,35.52,35.84,9020500
2015-11-20,35.75,37.18,35.62,37.12,6999900
2015-11-27,37.04,37.26,36.35,36.89,3927700
2015-12-04,36.94,37.26,35.97,36.81,8496700
2015-12-11,36.7,36.87,33.76,33.95,5131300
2015-12-18,34.0,34.38,32.09,32.1,12263300
2015-12-25,32.39,33.65,31.91,33.43,4440300
2016-01-01,33.27,33.92,32.61,33.29,2855400
2016-01-08,32.36,32.83,30.35,30.42,6954400
2016-01-15,30.59,30.91,27.89,28.42,10924600
2016-01-22,28.78,28.94,26.42,28.02,10634700
2016-01-29,27.87,28.65,27.35,28.64,11718100
2016-02-05,28.4,28.83,26.27,27.68,15076800
2016-02-12,27.31,27.31,23.99,25.14,17793400
2016-02-19,26.17,27.73,25.53,27.52,10643000
2016-02-26,27.53,29.28,26.94,28.92,7559500
2016-03-04,28.84,31.37,28.5,31.1,8755100
2016-03-11,30.88,31.77,30.11,31.68,7822200
2016-03-18,31.35,32.56,31.15,32.38,11875600
2016-03-25,32.43,32.66,30.34,30.8,9201400
2016-04-01,31.0,32.03,30.31,31.36,10163600
2016-04-08,31.31,31.51,29.86,30.6,10140200
2016-04-15,30.9,32.78,30.76,32.31,6603300
2016-04-22,32.06,34.18,32.06,33.92,5828000
2016-04-29,33.72,35.1,33.28,34.21,9344700
2016-05-06,34.33,34.33,32.94,33.66,7889200
2016-05-13,33.52,34.47,33.3,33.62,7077900
2016-05-20,33.67,35.71,33.67,35.46,9478700
2016-05-27,35.29,37.18,35.15,36.86,9259500
2016-06-03,37.1,37.14,35.49,35.69,8547700
2016-06-10,35.8,36.72,34.6,34.74,10192400
2016-06-17,34.29,34.93,33.03,33.73,9479600
2016-06-24,34.42,35.52,32.02,32.06,9943500
2016-07-01,31.5,31.87,29.92,31.67,13457100
2016-07-08,31.17,31.35,29.79,31.2,10522800
2016-07-15,31.22,32.98,31.15,32.4,9684200
2016-07-22,32.29,32.56,31.77,32.41,7183400
2016-07-29,32.34,33.75,32.15,33.41,9028700
2016-08-05,33.51,34.21,32.52,34.18,8850400
2016-08-12,34.33,34.58,33.25,33.48,5614900
2016-08-19,33.7,34.58,33.65,34.49,6191500
2016-08-26,34.27,35.21,33.95,34.74,7518600
2016-09-02,34.76,35.86,34.76,35.42,7467900
2016-09-09,35.38,35.94,34.71,35.25,5217500
2016-09-16,34.93,35.87,34.62,35.0,9699100
2016-09-23,35.18,35.8,35.0,35.01,7280700
2016-09-30,34.68,35.5,33.98,35.31,6001700
2016-10-07,35.06,36.93,34.96,36.33,6353000
2016-10-14,36.67,36.99,35.85,36.37,9639200
2016-10-21,36.49,36.97,35.78,35.97,5984600
2016-10-28,36.19,36.9,34.83,35.18,10956200
2016-11-04,35.36,36.63,34.91,35.79,11136200
2016-11-11,36.46,41.21,36.24,40.39,17954100
2016-11-18,40.96,42.67,40.9,42.55,9409200
2016-11-25,42.92,43.47,42.16,42.89,5283700
2016-12-02,42.35,43.25,42.0,42.72,10122600
2016-12-09,43.08,44.48,42.66,43.56,8094800
2016-12-16,43.37,45.01,42.9,43.55,13547400
2016-12-23,43.55,44.89,43.33,44.47,5400700
2016-12-30,44.55,44.73,43.7,43.93,2895000
2017-01-06,44.71,45.15,43.69,44.88,5878800
2017-01-13,44.25,45.47,43.69,44.79,5412200
2017-01-20,44.21,45.3,43.58,45.02,5215800
2017-01-27,44.8,46.28,44.53,45.95,4714000
2017-02-03,45.79,47.24,44.82,46.86,6654400
2017-02-10,46.46,47.75,46.33,47.39,5655200
2017-02-17,47.77,49.36,47.53,48.51,7134700
2017-02-24,49.0,49.2,47.77,48.48,6835900
2017-03-03,48.48,50.27,48.23,49.05,6940200
2017-03-10,48.41,49.34,48.27,48.81,5992800
2017-03-17,48.38,48.71,47.59,47.77,7250100
2017-03-24,47.57,48.16,45.0,45.79,6225700
2017-03-31,44.71,47.15,44.51,46.89,6600700
2017-04-07,47.04,47.13,45.66,46.36,4163900
2017-04-14,46.26,46.61,44.65,44.66,4348800
2017-04-21,44.9,45.98,44.61,45.52,5970100
2017-04-28,46.7,47.56,46.31,46.33,8150100
2017-05-05,46.57,47.26,46.08,46.58,6040500
2017-05-12,46.68,47.06,45.59,45.78,5053300
2017-05-19,45.95,46.67,44.7,45.49,6405500
2017-05-26,45.72,45.92,44.97,45.05,5889600
2017-06-02,44.85,45.77,44.42,45.22,6089000
2017-06-09,45.24,46.54,43.55,46.49,7509300
2017-06-16,46.5,47.51,46.08,47.5,7189400
2017-06-23,47.67,47.96,44.95,45.11,6362300
2017-06-30,45.26,47.6,44.81,46.63,4542400
2017-07-07,47.05,47.98,46.79,47.54,3929000
2017-07-14,47.48,48.2,47.16,47.66,4188200
2017-07-21,47.55,48.41,47.07,47.8,4127200
2017-07-28,47.79,49.96,47.55,49.8,4791500
2017-08-04,50.1,51.1,49.81,50.8,5915800
2017-08-11,50.77,51.43,49.65,49.7,5190100
2017-08-18,50.25,50.57,47.75,47.93,6689200
2017-08-25,47.93,48.74,47.19,48.55,6459800
2017-09-01,48.56,48.78,47.5,48.6,3945800
2017-09-08,48.19,48.21,46.08,47.11,5027200
2017-09-15,47.8,48.61,47.56,48.43,5423700
2017-09-22,48.52,50.21,48.46,50.12,4680700
2017-09-29,49.96,51.5,49.96,51.13,3992200
2017-10-06,51.27,52.75,50.94,52.54,3723500
2017-10-13,52.66,52.68,51.57,51.97,4228000
2017-10-20,52.17,52.91,51.64,52.29,3452300
2017-10-27,52.33,53.15,51.94,52.45,5703300
2017-11-03,52.17,53.09,51.79,52.46,7721900
2017-11-10,52.74,53.36,52.16,52.42,7178500
2017-11-17,52.2,53.61,52.17,53.46,8096400
2017-11-24,53.64,54.22,53.46,54.09,3248500
2017-12-01,54.09,57.37,53.91,56.48,7630000
2017-12-08,57.35,57.5,56.07,57.49,4200900
2017-12-15,57.49,57.55,53.96,54.03,11081900
2017-12-22,54.51,55.43,53.84,54.79,8887100
2017-12-29,54.75,55.44,54.56,54.89,2783500
2018-01-05,55.44,56.22,54.6,55.99,5890800
2018-01-12,56.05,58.73,55.83,58.59,6895600
2018-01-19,58.19,58.19,55.37,55.99,8707900
2018-01-26,56.02,57.12,54.85,55.74,7239300
2018-02-02,55.79,56.28,50.4,52.71,12968000
2018-02-09,52.09,52.6,47.53,49.21,12257600
2018-02-16,49.59,53.1,49.27,52.45,11790400
2018-02-23,52.27,52.86,51.16,51.73,6210000
2018-03-02,51.96,53.06,47.79,49.15,8703200
2018-03-09,48.71,51.23,48.52,51.19,6615600
2018-03-16,51.15,51.33,49.38,50.28,7221600
2018-03-23,50.31,51.17,46.87,46.98,5753100
2018-03-30,47.86,48.62,46.7,47.61,7056300
2018-04-06,47.67,48.22,45.91,46.59,7414900
2018-04-13,47.0,48.48,46.38,47.51,6791900
2018-04-20,47.96,49.03,47.45,48.88,8402500
2018-04-27,49.11,49.33,47.73,48.92,5336000
2018-05-04,48.94,49.24,38.75,39.86,18153300
2018-05-11,39.94,39.98,37.57,37.95,17959400
2018-05-18,38.1,39.11,37.78,38.63,12918500
2018-05-25,38.95,39.14,38.11,38.69,6899200
2018-06-01,38.05,39.68,36.91,39.12,11589900
2018-06-08,39.09,39.64,37.98,39.35,9722000
2018-06-15,39.6,39.8,38.23,39.14,11516900
2018-06-22,38.79,38.94,37.7,37.99,7664500
2018-06-29,37.93,38.36,36.15,36.99,7580800
2018-07-06,36.78,38.28,36.76,38.12,5767900
2018-07-13,38.42,39.55,37.17,37.66,7771400
2018-07-20,37.81,38.36,37.05,37.53,5914700
2018-07-27,37.41,39.3,36.96,38.8,8116700
2018-08-03,38.83,41.28,35.33,36.44,12717700
2018-08-10,36.45,36.9,34.57,35.18,8906400
2018-08-17,35.15,36.21,34.71,36.0,7124200
2018-08-24,36.0,36.62,35.07,35.56,6982400
2018-08-31,35.8,37.45,35.44,36.88,11367000
2018-09-07,36.7,37.88,36.32,36.55,8273200
2018-09-14,36.56,37.16,35.0,36.9,9762800
2018-09-21,37.01,40.59,36.37,40.51,15293200
2018-09-28,40.49,40.76,38.32,39.07,14330100
2018-10-05,39.32,40.44,38.78,39.42,13458300
2018-10-12,39.45,40.63,36.51,37.32,13252300
2018-10-19,37.23,38.42,36.67,37.65,10690000
2018-10-26,37.8,37.85,33.27,34.51,13250200
2018-11-02,35.07,38.14,34.39,37.17,16542200
2018-11-09,37.13,38.51,37.12,37.71,11313000
2018-11-16,37.6,38.84,36.0,36.11,11680800
2018-11-23,36.08,36.3,34.32,35.46,8105300
2018-11-30,36.11,36.69,35.55,35.91,10420600
2018-12-07,36.6,36.84,31.43,32.25,12742600
2018-12-14,32.04,32.16,29.22,29.69,15374300
2018-12-21,29.4,30.16,28.02,28.13,17345300
2018-12-28,27.74,29.34,26.77,29.0,7852500
2019-01-04,29.14,31.4,28.73,31.34,9138800
2019-01-11,31.19,32.6,30.77,32.37,8685400
2019-01-18,32.08,34.55,32.02,34.45,7430000
2019-01-25,34.23,34.57,33.61,34.37,5054000
2019-02-01,34.06,35.04,33.23,34.82,11528200
2019-02-08,34.8,36.91,33.97,35.07,13999900
2019-02-15,35.23,36.5,34.77,36.32,8055600
2019-02-22,36.18,37.63,36.12,37.27,5772500
2019-03-01,37.6,38.29,37.18,37.67,8033700
2019-03-08,37.72,37.92,35.49,36.03,8578500
2019-03-15,36.22,36.69,35.94,36.38,10579700
2019-03-22,36.56,37.19,33.06,33.37,11664500
2019-03-29,33.43,34.05,33.06,33.83,8647300
2019-04-05,34.02,35.28,34.02,34.94,10720500
2019-04-12,34.84,37.38,34.58,37.08,10675000
2019-04-19,37.07,38.0,36.57,36.58,11042400
2019-04-26,36.47,37.28,35.45,36.58,9143500
2019-05-03,36.7,37.81,36.05,36.81,12242000
2019-05-10,36.39,36.84,35.12,36.22,10030400
2019-05-17,35.42,35.62,34.43,34.79,8324600
2019-05-24,34.67,35.48,32.97,33.99,8576900
2019-05-31,33.8,33.9,31.38,31.49,6781700
2019-06-07,31.46,33.89,31.43,33.51,9600800
2019-06-14,33.65,34.07,32.58,33.05,7495000
2019-06-21,33.01,33.61,31.85,32.4,10747100
2019-06-28,32.39,33.65,32.11,33.55,9872200
2019-07-05,34.04,35.09,33.77,34.6,5850000
2019-07-12,34.35,34.74,32.34,33.08,9894800
2019-07-19,33.25,33.35,32.36,32.95,12925600
