Date,Open,High,Low,Close,Volume
2025-01-24,24.0,24.0,24.0,24.0,0
2025-01-31,19.93,22.14,19.93,20.45,16383800
2025-02-07,20.28,21.71,16.0,17.54,45936800
2025-02-14,17.66,17.9,14.75,15.96,32998200
2025-02-21,16.5,17.45,15.27,15.37,24389600
2025-02-28,15.6,16.0,13.73,15.09,26410400
2025-03-07,15.22,15.9,8.62,9.23,78428200
2025-03-14,9.13,10.94,8.79,10.71,44910300
2025-03-21,10.47,12.25,10.2,11.61,42700000
2025-03-28,11.71,12.13,9.82,9.95,27713200
2025-04-04,9.78,10.5,7.31,7.48,36466800
2025-04-11,7.25,9.1,6.75,8.28,61777700
2025-04-18,8.54,9.3,8.1,8.62,20687800
2025-04-25,8.37,9.43,8.25,8.63,21324300
2025-05-02,8.56,9.14,8.12,8.82,18714200
2025-05-09,8.65,9.63,8.4,9.35,22476100
2025-05-16,9.9,11.08,9.53,9.79,44263800
2025-05-23,9.53,11.57,9.52,11.39,29697800
2025-05-30,11.8,12.91,11.47,11.57,29179300
2025-06-06,11.63,15.82,11.36,15.22,53556100
2025-06-13,15.61,17.66,14.72,17.64,31995000
2025-06-20,17.95,19.26,16.69,19.01,28051900
2025-06-27,19.5,19.5,15.36,15.69,32456000
2025-07-04,15.7,15.98,14.48,15.56,19571400
2025-07-11,15.35,18.18,14.52,17.88,19998400
2025-07-18,17.88,18.17,15.62,15.9,18667200
2025-07-25,15.9,15.98,14.11,14.56,24692900
2025-08-01,15.42,16.08,14.57,14.92,34150100
2025-08-08,15.04,15.14,12.35,12.35,34666200
2025-08-15,12.35,14.07,11.87,12.49,47715900
2025-08-22,12.25,13.11,11.92,12.86,26231600
2025-08-29,13.02,13.75,12.56,13.0,30815800
2025-09-05,12.91,13.22,12.48,12.84,19735400
2025-09-12,12.91,14.08,12.91,13.6,40578100
2025-09-19,13.63,14.28,13.15,13.25,80574000
2025-09-26,13.22,15.3,13.22,14.83,38712700
2025-10-03,14.83,14.83,13.72,13.95,25778300
2025-10-10,14.15,14.41,9.42,9.45,67550700
2025-10-17,9.86,9.86,8.61,8.88,68193400
2025-10-24,8.89,9.87,8.8,9.49,37497500
2025-10-31,9.55,9.67,8.54,8.57,35861800
2025-11-07,8.57,8.64,7.46,7.99,39948700
2025-11-14,8.96,9.03,7.49,7.98,66692200
2025-11-21,8.02,8.22,6.93,7.25,43530300
2025-11-28,7.23,7.57,6.72,7.46,32278200
2025-12-05,7.33,7.39,6.5,6.82,55823200
2025-12-12,6.75,6.9,5.87,6.15,66292000
2025-12-19,6.15,6.43,5.72,6.35,73886500
2025-12-26,6.48,7.41,6.37,6.95,52837600
2026-01-02,6.95,7.34,6.82,7.04,39137100
2026-01-09,7.22,7.6,6.64,7.23,64739900
2026-01-16,7.18,8.82,6.82,8.8,71030300
2026-01-23,8.5,10.05,8.25,9.88,58663600
2026-01-30,9.9,10.05,8.75,9.8,57914600
2026-02-06,9.38,9.95,8.94,9.9,58738500
2026-02-13,9.8,10.43,9.13,9.36,39820200
2026-02-20,9.3,10.26,8.55,9.69,40509900
2026-02-27,9.52,9.78,9.03,9.69,37426300
2026-03-06,11.2,13.43,10.5,12.48,206802700
2026-03-13,12.75,13.55,10.77,13.1,129370200
2026-03-20,12.94,16.81,12.01,15.81,257772300
2026-03-27,15.24,17.62,15.05,17.53,184110000
2026-04-03,17.3,17.61,14.22,14.64,138551100
2026-04-10,14.53,16.88,12.51,12.97,157729200
2026-04-17,13.34,13.56,10.95,11.46,110056400
2026-04-24,11.56,13.02,11.35,11.9,105552800
2026-05-01,12.02,13.32,12.02,12.73,89500500
2026-05-08,12.94,13.81,11.16,11.45,94854800
2026-05-15,11.71,14.4,11.45,14.23,138029100
2026-05-22,13.67,14.95,13.21,13.83,89011200
2026-05-29,13.3,13.47,11.94,12.04,52266800
2026-06-05,12.54,13.29,12.31,12.8,56572300
2026-06-12,13.25,13.82,12.11,13.08,66352600
2026-06-19,12.3,12.3,10.59,11.02,82191000
2026-06-26,11.1,11.37,10.26,10.95,64718100
2026-07-03,10.89,11.38,10.86,11.13,31457200
2026-07-10,11.08,12.95,10.8,12.24,71643300
2026-07-17,12.68,13.84,12.55,13.8,79164500
2026-07-24,13.6,15.45,13.57,14.31,106646300
2026-07-31,13.86,14.11,12.11,13.38,69120000
2026-08-07,12.7,13.67,12.33,13.26,54389300
2026-08-14,13.75,14.28,12.92,13.99,85440000
2026-08-21,14.06,14.65,13.52,14.21,68737200
2026-08-28,14.14,14.73,13.72,14.18,58501400
2026-09-04,14.58,15.16,14.26,14.42,58041000
2026-09-11,14.65,15.99,14.53,15.8,74801200
2026-09-18,16.08,16.3,14.02,14.02,72866200
2026-09-25,13.8,13.9,13.04,13.53,28549290
