Date,Open,High,Low,Close,Volume
2023-10-06,76.67,80.62,72.65,77.98,31491300
2023-10-13,76.65,78.0,70.47,71.85,26944200
2023-10-20,71.62,75.12,68.9,69.93,16118600
2023-10-27,69.3,73.71,65.51,67.99,17769300
2023-11-03,68.48,71.09,66.69,70.8,14342500
2023-11-10,70.05,70.78,67.36,70.55,10708200
2023-11-17,70.28,74.64,70.06,70.99,13162900
2023-11-24,71.0,74.13,70.47,74.01,6311600
2023-12-01,73.82,77.62,72.85,76.51,16724700
2023-12-08,75.97,76.92,74.27,75.43,7465700
2023-12-15,75.0,79.93,74.65,78.85,17791000
2023-12-22,79.19,83.89,78.43,81.64,8194000
2023-12-29,81.7,83.5,81.39,82.26,3192600
2024-01-05,81.1,82.0,76.25,76.9,5615700
2024-01-12,76.47,77.84,74.96,75.76,7367300
2024-01-19,74.36,77.68,73.91,77.55,5346000
2024-01-26,77.66,80.5,75.99,76.99,6116100
2024-02-02,76.63,78.6,75.17,76.84,7226200
2024-02-09,76.07,83.89,75.05,82.13,8801700
2024-02-16,82.53,87.03,81.23,86.09,7418600
2024-02-23,85.15,87.4,83.34,86.71,4562800
2024-03-01,86.78,88.81,85.7,86.76,7565100
2024-03-08,87.23,90.55,86.83,89.26,6138100
2024-03-15,88.87,89.61,85.9,86.5,9866500
2024-03-22,87.46,90.69,86.71,89.46,9337300
2024-03-29,89.3,90.63,88.63,88.66,5811800
2024-04-05,88.59,88.66,85.91,87.09,9171900
2024-04-12,87.45,89.68,86.04,87.37,5821400
2024-04-19,88.47,92.15,88.41,88.89,14096000
2024-04-26,89.14,95.4,88.13,94.12,10993000
2024-05-03,94.15,96.13,93.11,95.89,6454600
2024-05-10,96.9,97.46,95.47,96.5,6294700
2024-05-17,96.71,99.37,95.24,98.6,6590800
2024-05-24,98.74,102.31,97.34,102.19,6410200
2024-05-31,102.01,102.58,97.99,98.58,12298400
2024-06-07,100.85,101.71,97.32,99.22,5526800
2024-06-14,98.88,101.46,98.27,100.75,4202400
2024-06-21,100.05,101.61,98.21,98.87,6918600
2024-06-28,99.46,100.73,95.46,95.47,14546200
2024-07-05,96.02,96.29,93.77,95.6,5704000
2024-07-12,96.15,99.63,95.21,98.76,6204800
2024-07-19,99.0,99.89,97.51,98.46,5588700
2024-07-26,98.94,107.86,98.1,104.87,8118500
2024-08-02,106.08,107.77,103.05,104.84,8613700
2024-08-09,102.56,107.33,101.61,106.1,7210600
2024-08-16,105.9,109.52,105.46,108.72,4587800
2024-08-23,109.24,112.15,108.99,111.78,5242300
2024-08-30,112.0,112.77,110.44,112.43,6835400
2024-09-06,111.1,112.22,108.08,108.72,5670400
2024-09-13,110.12,110.77,107.62,110.02,7225600
2024-09-20,110.53,111.57,107.46,109.47,14194700
2024-09-27,110.32,112.28,109.22,110.3,7846500
2024-10-04,110.15,112.61,109.25,112.02,6573800
2024-10-11,110.93,114.18,110.78,113.13,6141700
2024-10-18,113.48,114.61,112.08,113.6,8026100
2024-10-25,112.87,115.0,103.67,104.05,7722900
2024-11-01,104.72,105.17,101.18,101.59,6112400
2024-11-08,102.07,106.37,101.72,105.55,6683100
2024-11-15,105.93,106.0,101.92,102.68,5503500
2024-11-22,102.32,107.44,102.19,106.41,7130000
2024-11-29,106.73,108.96,106.41,108.19,6645100
2024-12-06,108.0,108.0,105.09,106.53,5278200
