Date,Open,High,Low,Close,Volume
2015-03-27,84.05,86.02,83.02,84.17,4936900
2015-04-03,84.58,85.64,83.46,84.31,3469300
2015-04-10,84.06,85.05,81.73,83.34,4733800
2015-04-17,83.0,84.74,81.29,81.93,4925100
2015-04-24,82.26,83.49,80.58,83.47,4240500
2015-05-01,83.96,88.57,81.78,88.33,6078100
2015-05-08,88.24,91.1,84.72,90.47,7002000
2015-05-15,90.13,93.07,89.98,91.99,5081800
2015-05-22,91.55,92.74,91.34,91.58,3390800
2015-05-29,91.11,91.59,89.46,89.93,4012100
2015-06-05,90.0,90.75,87.64,89.12,4764500
2015-06-12,88.94,90.25,87.96,88.89,3723400
2015-06-19,88.35,89.67,86.64,89.29,3792500
2015-06-26,89.75,90.19,86.13,86.48,2850500
2015-07-03,85.78,86.43,83.91,85.37,2811700
2015-07-10,84.44,90.62,84.1,90.36,4789700
2015-07-17,90.63,91.75,88.51,91.67,3876400
2015-07-24,91.78,95.23,88.98,89.79,5162600
2015-07-31,89.4,92.16,87.68,91.02,4145300
2015-08-07,91.07,98.0,89.5,94.51,7702100
2015-08-14,95.57,98.2,94.81,97.77,4771500
2015-08-21,98.62,99.41,90.8,91.66,4853200
2015-08-28,87.06,92.59,85.11,92.42,10093900
2015-09-04,92.0,99.2,91.0,95.31,8041600
2015-09-11,96.8,101.0,96.09,99.13,4216100
2015-09-18,99.14,102.65,98.37,98.95,5854900
2015-09-25,99.72,100.46,89.32,92.02,7907500
2015-10-02,91.58,95.61,84.37,95.61,9682400
2015-10-09,96.66,97.99,91.49,94.9,6694100
2015-10-16,94.92,95.56,88.88,91.42,7061600
2015-10-23,91.09,95.02,87.4,94.5,6510800
2015-10-30,94.22,97.59,89.85,96.58,5143900
2015-11-06,96.58,103.44,90.41,102.15,11721700
2015-11-13,102.34,103.0,98.0,99.18,4547700
2015-11-20,99.26,106.0,98.61,105.7,4552200
2015-11-27,105.78,106.84,102.94,103.99,2542500
2015-12-04,104.0,104.75,97.86,99.54,6366700
2015-12-11,99.55,99.55,92.86,94.28,6576300
2015-12-18,94.5,98.03,93.01,93.84,5733800
2015-12-25,94.38,97.55,93.97,96.82,2717000
2016-01-01,96.23,97.4,94.52,94.97,2232100
2016-01-08,93.5,93.5,85.92,86.25,6609300
2016-01-15,86.98,88.18,81.88,83.84,9420300
2016-01-22,85.1,88.07,78.83,85.37,5140100
2016-01-29,84.65,88.97,82.53,88.2,5003300
2016-02-05,87.54,95.44,85.2,93.64,10079100
2016-02-12,91.99,94.74,87.17,92.02,8489500
2016-02-19,93.86,97.04,91.8,94.88,4266500
2016-02-26,94.68,99.7,93.24,98.73,5039100
2016-03-04,98.98,103.37,98.28,101.76,5535400
2016-03-11,101.32,104.67,100.61,104.13,5196300
2016-03-18,103.98,105.69,102.3,105.42,5249300
2016-03-25,105.42,105.59,104.04,105.11,2813000
2016-04-01,105.19,107.78,104.33,107.21,4277800
2016-04-08,107.04,109.0,104.61,108.0,4897100
2016-04-15,109.08,109.63,105.05,107.0,4978800
2016-04-22,106.77,109.6,106.49,108.89,3171000
2016-04-29,108.84,111.15,106.47,107.63,3886600
2016-05-06,108.26,114.85,107.56,114.43,8427800
2016-05-13,114.25,118.0,114.1,115.64,4060700
2016-05-20,116.43,117.57,113.35,115.75,4161800
2016-05-27,115.8,120.4,115.8,118.12,4401400
2016-06-03,118.15,118.46,114.25,115.7,3656400
2016-06-10,115.92,118.64,114.63,115.49,2649000
2016-06-17,115.05,116.13,112.16,113.99,4192700
2016-06-24,115.68,121.22,114.45,118.6,6214300
2016-07-01,117.31,121.23,113.26,119.88,4895300
2016-07-08,118.86,124.28,118.37,123.61,3310100
2016-07-15,125.72,127.17,123.6,124.8,3800400
2016-07-22,124.88,126.68,123.78,126.4,3537100
2016-07-29,126.01,127.2,123.44,123.98,5039100
2016-08-05,121.11,121.86,115.09,118.98,9194500
2016-08-12,119.12,122.47,118.58,118.92,5182500
2016-08-19,119.41,120.87,114.54,116.7,4929300
2016-08-26,116.13,120.39,115.11,116.08,4720800
2016-09-02,116.0,117.56,110.68,114.48,5040300
2016-09-09,114.89,115.12,107.07,107.87,4528000
2016-09-16,107.36,112.45,107.09,108.34,6762400
2016-09-23,109.13,113.01,106.42,112.05,5823800
2016-09-30,111.23,119.32,110.67,113.73,9256200
2016-10-07,113.32,113.62,106.14,106.47,8493700
2016-10-14,107.72,110.22,105.71,109.77,5400300
2016-10-21,110.1,114.27,108.37,111.53,5222400
2016-10-28,112.07,114.55,110.23,112.57,4007200
2016-11-04,113.22,118.55,111.06,116.75,7434000
2016-11-11,118.63,138.18,117.68,134.18,13137600
2016-11-18,135.09,136.12,127.2,128.2,10597000
2016-11-25,128.77,132.1,126.35,132.07,4373700
2016-12-02,132.18,132.18,124.44,127.06,8788700
2016-12-09,126.95,130.75,125.92,128.51,5701300
2016-12-16,128.26,128.61,122.92,123.45,6299700
2016-12-23,123.46,126.91,121.84,125.59,4097000
2016-12-30,125.8,129.71,124.77,125.15,2700700
2017-01-06,126.04,128.65,123.37,123.8,3749600
2017-01-13,123.58,124.5,120.79,124.4,3800700
2017-01-20,124.37,130.32,121.53,129.87,4942200
2017-01-27,130.06,136.82,128.12,134.36,5290700
2017-02-03,133.9,133.9,126.83,128.88,6535200
2017-02-10,128.73,129.12,118.57,122.6,12839900
2017-02-17,124.47,129.25,118.27,119.33,8027700
2017-02-24,119.96,122.42,114.1,117.82,8072000
