Date,Open,High,Low,Close,Volume
2015-04-03,70.36,72.5,70.36,72.27,3730500
2015-04-10,71.43,73.23,71.42,72.86,4185700
2015-04-17,72.8,73.21,71.43,71.84,2977600
2015-04-24,72.18,72.96,71.91,72.68,2954000
2015-05-01,72.89,78.09,72.28,75.71,6257700
2015-05-08,75.86,76.8,70.2,73.66,15165900
2015-05-15,73.88,74.45,72.99,73.74,7736800
2015-05-22,73.69,73.98,73.01,73.44,5429700
2015-05-29,73.0,73.68,72.13,72.58,6484400
2015-06-05,72.55,74.4,72.32,74.04,4980400
2015-06-12,73.65,74.56,72.87,74.25,3707500
2015-06-19,73.84,75.56,73.55,75.25,4587000
2015-06-26,75.63,75.7,74.08,74.51,5165700
2015-07-03,74.01,74.11,72.56,73.06,3079500
2015-07-10,72.56,74.04,71.88,73.24,4173400
2015-07-17,73.81,75.84,73.52,75.39,3141800
2015-07-24,75.42,75.94,73.59,74.45,4080700
2015-07-31,74.75,79.88,72.66,78.11,6039800
2015-08-07,77.56,78.48,76.15,77.66,4600400
2015-08-14,77.98,78.13,75.89,76.8,2677200
2015-08-21,76.56,78.17,73.9,73.92,3648000
2015-08-28,71.68,74.69,68.87,73.94,5503600
2015-09-04,73.65,74.15,71.02,72.81,4043700
2015-09-11,73.97,75.48,73.01,73.87,2152100
2015-09-18,74.0,74.3,72.69,73.0,3358300
2015-09-25,73.3,74.92,73.0,73.78,3325800
2015-10-02,73.36,79.92,71.51,79.88,10565600
2015-10-09,80.1,82.0,79.78,81.13,36220900
2015-10-16,81.06,81.69,78.71,79.53,7374900
2015-10-23,79.22,81.18,78.51,81.15,6202800
2015-10-30,81.33,81.8,69.69,71.61,16191500
2015-11-06,71.51,71.76,68.15,70.12,8608100
2015-11-13,69.73,72.5,69.31,71.66,7880800
2015-11-20,71.95,73.98,71.36,73.78,5701200
2015-11-27,73.99,75.0,72.71,74.88,2927500
2015-12-04,75.11,76.45,73.84,75.32,6094300
2015-12-11,75.03,77.28,74.47,75.05,6498800
2015-12-18,75.26,79.04,74.1,75.1,7610100
2015-12-25,75.82,77.74,74.44,76.96,3901600
2016-01-01,76.79,78.26,76.4,76.88,2491600
2016-01-08,75.36,75.58,72.48,73.37,5863800
2016-01-15,73.7,74.88,70.22,72.06,6727200
2016-01-22,72.71,73.68,69.1,71.14,5511900
2016-01-29,70.78,73.67,69.5,73.0,5711600
2016-02-05,72.33,72.48,67.65,67.93,7206100
2016-02-12,67.37,68.94,64.79,68.06,6997900
2016-02-19,68.41,69.81,67.6,67.95,5757900
2016-02-26,68.49,74.55,67.07,74.03,9777700
2016-03-04,74.02,77.23,72.7,76.7,4953200
2016-03-11,75.82,76.82,74.9,76.3,3492700
2016-03-18,76.15,78.03,75.03,77.48,3514300
2016-03-25,77.4,78.46,76.41,77.61,2304300
2016-04-01,78.01,80.44,77.3,80.19,3328900
2016-04-08,80.01,81.59,77.29,77.58,3049600
2016-04-15,77.97,78.7,76.76,78.15,2674400
2016-04-22,78.19,79.01,77.81,78.19,2527000
2016-04-29,78.18,79.43,77.07,77.58,2866600
2016-05-06,77.68,78.17,76.29,77.85,3869700
2016-05-13,78.01,78.84,76.96,77.08,2561400
2016-05-20,77.12,78.23,75.76,77.04,3632000
2016-05-27,77.06,79.57,76.84,79.26,2135100
2016-06-03,79.57,80.03,78.91,79.78,3321700
2016-06-10,79.72,80.16,78.43,78.76,3107100
2016-06-17,78.81,79.86,77.53,77.8,3442200
2016-06-24,78.51,80.5,76.35,77.96,4130500
2016-07-01,77.31,81.43,75.72,80.93,3223300
2016-07-08,80.64,83.4,80.64,83.4,2335400
2016-07-15,83.48,86.0,83.19,85.24,2958000
2016-07-22,85.47,85.89,84.54,85.75,2249200
2016-07-29,85.72,85.75,84.59,85.28,2042400
2016-08-05,85.15,85.45,78.27,82.17,5417900
2016-08-12,82.2,82.52,80.65,81.42,2162000
2016-08-19,81.77,81.99,80.98,81.95,3084000
2016-08-26,81.46,84.04,81.44,83.14,2829800
2016-09-02,83.07,84.22,82.79,83.84,3165000
2016-09-09,83.7,84.16,81.95,81.96,2763400
2016-09-16,81.98,83.98,80.43,80.64,4147400
2016-09-23,80.98,81.66,80.15,81.32,4120400
2016-09-30,80.78,82.18,80.34,81.28,3733100
2016-10-07,80.93,81.5,79.25,79.61,3320800
2016-10-14,79.8,80.42,78.6,79.37,2707600
2016-10-21,79.42,81.49,79.31,81.26,3580200
2016-10-28,81.82,82.59,81.05,81.35,4752000
2016-11-04,81.68,83.29,80.67,81.76,5645400
2016-11-11,82.86,84.29,80.88,83.13,5049000
2016-11-18,83.39,83.6,82.06,83.16,7481700
2016-11-25,83.4,84.76,82.5,84.11,2828300
2016-12-02,84.41,84.85,81.65,82.2,4775400
2016-12-09,82.69,83.53,82.18,82.93,4868100
2016-12-16,82.7,83.95,80.9,81.78,5507000
2016-12-23,81.85,82.99,81.75,82.11,1956000
2016-12-30,82.41,82.97,80.96,81.17,1563200
2017-01-06,81.59,82.4,81.05,82.38,2108100
2017-01-13,82.03,82.76,81.42,82.63,2461000
2017-01-20,82.45,82.45,80.2,81.36,2405600
2017-01-27,81.23,83.02,80.85,82.68,2088900
2017-02-03,82.63,83.52,81.31,83.52,2776200
2017-02-10,83.18,84.69,82.15,84.52,2106400
2017-02-17,84.99,85.23,83.39,84.9,2790000
2017-02-24,84.8,87.4,81.9,83.95,5643400
2017-03-03,83.62,84.49,82.78,83.95,3179900
2017-03-10,83.68,83.93,79.71,79.94,5163100
2017-03-17,80.1,81.27,79.09,81.19,5421300
2017-03-24,80.94,81.39,79.43,79.71,4983600
2017-03-31,79.36,81.61,79.17,81.14,4302200
2017-04-07,81.06,81.29,79.13,79.29,4550800
2017-04-14,79.31,79.87,78.69,79.11,2668800
2017-04-21,79.48,81.9,79.48,81.65,2839600
2017-04-28,82.42,83.69,82.14,82.81,3296200
2017-05-05,83.0,83.4,75.6,79.76,10378300
2017-05-12,79.77,80.07,77.72,78.1,4524100
2017-05-19,78.15,79.57,78.15,79.41,5492300
2017-05-26,79.39,81.61,79.34,80.55,4239200
2017-06-02,80.21,81.89,80.08,81.86,3463300
2017-06-09,81.83,82.21,79.89,80.07,3105300
2017-06-16,79.86,83.62,79.86,83.14,4957200
2017-06-23,83.35,84.18,82.14,82.36,5419900
2017-06-30,82.68,84.68,82.3,84.37,4467100
2017-07-07,84.87,84.96,83.38,83.65,3196200
2017-07-14,83.63,85.53,82.94,85.44,3226300
2017-07-21,85.45,86.96,84.73,86.51,3743400
2017-07-28,86.48,87.62,85.95,87.32,3090700
2017-08-04,87.32,88.17,82.03,82.88,6407000
2017-08-11,82.99,83.24,80.56,80.62,3408700
2017-08-18,81.15,81.9,80.12,80.65,3579100
2017-08-25,80.8,82.36,79.59,79.67,3484400
2017-09-01,80.0,81.38,78.97,80.98,3715400
2017-09-08,80.82,82.8,80.42,82.48,3382500
2017-09-15,82.92,83.0,80.32,81.03,3990800
2017-09-22,81.1,82.49,80.92,82.31,2439300
2017-09-29,82.21,83.84,81.49,83.19,4169300
2017-10-06,83.4,84.09,83.01,83.5,2795400
2017-10-13,83.36,84.6,83.03,84.0,2538900
2017-10-20,83.96,85.37,83.74,84.85,2512200
2017-10-27,84.88,85.35,83.96,84.94,3653800
2017-11-03,84.92,91.41,84.4,91.03,6907900
2017-11-10,90.94,92.92,89.95,90.21,4344000
2017-11-17,90.03,92.21,89.65,91.86,5520400
2017-11-24,91.74,94.26,91.62,93.88,3470800
2017-12-01,93.88,98.6,93.87,95.64,3988600
2017-12-08,95.82,96.71,95.35,96.16,3601600
2017-12-15,95.96,95.96,93.73,95.0,6789400
2017-12-22,95.41,97.09,94.93,95.33,4023300
2017-12-29,95.46,97.0,95.28,96.0,1953400
2018-01-05,96.48,96.96,95.26,96.88,3256500
2018-01-12,96.56,97.59,96.03,97.5,2888400
2018-01-19,97.37,99.09,96.29,98.9,3540000
2018-01-26,99.01,99.92,97.33,98.31,4319000
2018-02-02,98.0,100.54,97.54,98.83,6238200
2018-02-09,98.88,99.31,90.6,92.91,5617400
2018-02-16,93.58,99.68,92.62,98.79,5621700
2018-02-23,98.51,102.0,96.59,101.54,5858500
2018-03-02,101.83,103.86,99.3,101.37,4961800
2018-03-09,101.27,106.01,100.86,105.84,4507100
2018-03-16,105.82,106.07,103.58,104.77,3399200
2018-03-23,104.49,105.87,102.05,102.11,3536800
2018-03-30,103.55,104.6,101.05,104.0,3291700
2018-04-06,103.31,105.75,100.32,104.13,4814900
2018-04-13,104.56,106.93,104.32,105.42,3918000
2018-04-20,106.35,108.58,105.94,107.38,3141800
2018-04-27,107.73,108.33,105.74,107.12,3919100
2018-05-04,107.18,107.76,95.21,102.36,9085000
2018-05-11,102.63,106.6,102.01,105.88,4208800
2018-05-18,105.77,106.35,104.13,106.31,5280700
2018-05-25,106.42,107.42,104.45,106.1,2778900
2018-06-01,105.56,109.33,104.46,107.27,3265100
2018-06-08,106.7,109.59,106.04,109.06,4467400
2018-06-15,109.02,110.32,108.63,109.9,3772900
2018-06-22,109.13,109.99,107.33,107.89,3762600
2018-06-29,107.16,108.14,105.43,107.64,3848400
2018-07-06,106.99,110.84,106.55,110.58,2475500
2018-07-13,110.89,113.29,110.55,113.04,3205300
2018-07-20,112.97,113.06,110.48,112.59,2684800
2018-07-27,112.51,115.1,111.13,111.46,3784200
2018-08-03,111.21,115.05,109.25,114.39,5545900
2018-08-10,114.29,118.13,113.48,116.95,2885800
2018-08-17,116.91,118.11,116.16,117.42,2881800
2018-08-24,117.43,118.29,117.06,117.94,2223700
2018-08-31,118.23,119.56,117.47,119.09,2862000
2018-09-07,118.94,121.82,118.51,120.43,3117400
2018-09-14,121.0,122.8,120.19,121.63,3654400
2018-09-21,121.57,122.57,119.58,120.03,5105700
2018-09-28,119.66,121.65,118.81,120.55,3063400
2018-10-05,121.52,121.65,117.62,119.46,3851100
2018-10-12,119.42,121.18,112.65,114.78,5002700
2018-10-19,114.58,117.59,113.23,116.14,3249400
2018-10-26,116.53,117.22,111.52,113.84,3955700
2018-11-02,115.26,121.96,112.73,115.55,7208600
2018-11-09,116.05,123.81,114.19,123.38,4115600
2018-11-16,123.41,124.32,120.01,123.83,5402700
2018-11-23,123.48,124.5,119.06,120.06,3600100
2018-11-30,121.18,124.83,120.19,123.32,4289500
2018-12-07,123.49,125.99,113.98,114.45,5054900
2018-12-14,114.72,117.77,112.8,113.83,5292600
2018-12-21,113.84,113.84,105.94,106.01,5694700
2018-12-28,105.7,109.93,102.74,108.06,2832200
2019-01-04,108.56,110.35,104.92,109.98,3338600
2019-01-11,109.97,112.86,109.12,112.01,3362000
2019-01-18,111.38,115.76,111.05,115.7,2893300
2019-01-25,114.85,117.78,114.85,117.24,2933700
2019-02-01,116.66,119.61,115.24,118.77,3534900
2019-02-08,118.61,121.98,117.63,121.98,2970900
2019-02-15,122.44,125.4,121.78,125.38,3334000
2019-02-22,124.92,125.67,121.06,125.03,4172000
2019-03-01,125.68,127.22,122.44,126.71,3075300
2019-03-08,127.3,127.55,125.1,126.01,3148800
2019-03-15,125.9,129.3,125.52,128.43,4122600
2019-03-22,128.15,129.92,128.1,128.89,3272900
2019-03-29,129.17,133.39,128.36,133.0,4922800
2019-04-05,133.67,136.99,132.72,135.52,4006600
2019-04-12,134.88,137.0,134.25,136.98,2935500
2019-04-19,136.9,138.93,136.17,137.99,2188300
2019-04-26,137.6,140.41,136.69,139.87,2638600
2019-05-03,140.14,143.27,137.91,143.21,3396900
2019-05-10,141.21,143.67,137.84,140.68,3958400
2019-05-17,138.67,142.93,137.74,141.97,4477400
2019-05-24,140.63,144.48,140.63,142.21,2451600
2019-05-31,142.69,144.38,139.19,140.0,5169600
2019-06-07,140.45,147.03,139.41,146.47,6711400
2019-06-14,147.19,147.94,144.88,145.83,3171300
2019-06-21,146.09,147.44,141.72,145.07,4633100
2019-06-28,145.17,146.92,142.61,146.46,4183000
2019-07-05,147.52,151.09,146.54,148.87,3345500
2019-07-12,148.82,152.1,148.1,151.83,2806700
2019-07-19,152.3,153.82,151.0,151.43,2971300
2019-07-26,151.75,152.72,149.66,152.51,3336900
2019-08-02,152.69,155.5,150.02,153.23,4148700
2019-08-09,151.93,157.24,148.43,156.46,4050200
2019-08-16,156.28,157.6,152.7,156.88,3298600
2019-08-23,158.0,159.72,153.91,154.61,2930500
2019-08-30,155.75,162.13,155.7,161.54,2764600
2019-09-06,161.86,164.97,160.42,164.58,2552500
2019-09-13,164.33,164.54,153.03,155.76,4844800
2019-09-20,154.88,159.94,153.52,158.42,3418500
2019-09-27,158.78,160.56,154.4,155.59,3312400
2019-10-04,155.59,158.74,151.88,157.54,3807000
2019-10-11,157.55,159.57,154.79,157.11,2442100
2019-10-18,157.44,158.4,152.95,154.42,4024600
2019-10-25,154.89,157.8,147.71,148.92,4246800
2019-11-01,148.94,151.32,144.32,145.36,6026300
2019-11-08,145.5,145.5,136.39,136.75,5419300
2019-11-15,135.71,141.82,135.4,141.18,4688200
2019-11-22,141.54,146.25,141.0,145.98,6183500
2019-11-29,146.08,148.97,145.0,147.48,3147400
2019-12-06,147.56,148.22,144.19,146.82,3351400
2019-12-13,147.08,149.56,146.31,149.19,3239000
2019-12-20,149.78,151.49,148.05,149.68,5981100
2019-12-27,149.71,150.48,148.04,148.58,1705200
2020-01-03,148.48,152.73,146.44,152.59,2861400
2020-01-10,151.84,157.96,150.69,157.32,4547500
2020-01-17,157.34,161.59,156.54,160.55,3168500
2020-01-24,159.66,165.95,159.26,165.3,2633200
2020-01-31,163.31,165.5,161.82,162.47,3025400
2020-02-07,163.03,169.9,163.03,169.12,3636700
