Date,Open,High,Low,Close,Volume
2015-03-27,64.93,66.81,64.16,66.3,5123900
2015-04-03,66.55,67.5,66.02,66.69,3624400
2015-04-10,66.12,67.93,65.67,67.75,4072900
2015-04-17,67.69,68.23,65.79,66.06,7562300
2015-04-24,66.31,68.25,62.62,65.04,7925100
2015-05-01,65.08,65.44,63.13,64.15,4950900
2015-05-08,64.15,64.89,62.68,63.9,5623100
2015-05-15,63.96,64.71,62.85,64.09,4756800
2015-05-22,63.93,64.84,63.87,64.52,2791300
2015-05-29,64.45,64.61,63.02,63.19,4835700
2015-06-05,63.62,63.81,61.76,62.65,4365600
2015-06-12,62.72,63.78,61.5,62.95,3961400
2015-06-19,62.52,64.69,61.89,64.19,4551000
2015-06-26,64.64,64.88,62.65,62.95,3127000
2015-07-03,62.5,63.66,61.31,62.87,3478700
2015-07-10,62.31,63.41,61.42,63.19,3743600
2015-07-17,63.59,65.37,63.42,65.02,2848100
2015-07-24,65.01,70.99,64.76,67.73,6119900
2015-07-31,67.33,71.73,67.24,70.94,6790100
2015-08-07,70.61,71.82,69.97,70.9,4235700
2015-08-14,71.55,71.64,69.89,71.09,4674400
2015-08-21,71.15,71.58,67.77,67.81,4115700
2015-08-28,64.6,69.86,64.0,69.55,7995100
2015-09-04,69.4,69.61,66.25,67.13,4076400
2015-09-11,68.3,69.17,67.1,69.16,2708300
2015-09-18,69.33,71.29,68.66,69.95,5052100
2015-09-25,70.11,71.19,68.72,69.31,2705100
2015-10-02,69.16,73.32,67.04,73.31,5667700
2015-10-09,73.7,75.17,72.99,75.07,6134400
2015-10-16,75.2,75.68,74.05,74.67,4660700
2015-10-23,74.61,81.4,74.13,80.18,6371200
2015-10-30,80.14,81.49,79.31,80.6,4849300
2015-11-06,80.86,82.58,80.04,82.51,4331600
2015-11-13,82.11,83.21,80.54,81.56,5633600
2015-11-20,81.76,90.8,81.47,90.3,6932600
2015-11-27,90.33,91.22,87.57,89.3,5806400
2015-12-04,89.62,93.94,88.93,93.12,6610500
2015-12-11,93.11,93.76,88.69,89.04,5823200
2015-12-18,88.95,91.27,86.39,86.44,7827700
2015-12-25,86.8,88.27,85.98,87.78,2399500
