Date,Open,High,Low,Close,Volume
2015-03-27,63.15,64.3,60.02,61.63,22601100
2015-04-03,58.8,60.41,57.46,58.1,62422000
2015-04-10,58.12,72.62,58.0,70.24,112149400
2015-04-17,69.72,72.16,66.15,69.82,50680200
2015-04-24,69.64,76.69,67.21,76.06,93628000
2015-05-01,75.4,75.4,71.13,73.89,56603200
2015-05-08,74.2,74.23,69.62,71.31,41382400
2015-05-15,71.28,71.98,69.85,70.67,21735300
2015-05-22,70.45,71.69,69.49,69.66,24431500
2015-05-29,69.5,73.86,69.49,72.63,23970800
2015-06-05,72.42,74.66,71.31,74.14,26394000
2015-06-12,74.01,74.4,73.18,73.7,20402500
2015-06-19,73.64,73.77,71.18,71.62,32318300
2015-06-26,71.95,72.26,69.01,69.06,21862500
2015-07-03,68.15,70.41,67.33,70.12,14863100
2015-07-10,69.14,73.9,68.64,71.22,27508400
2015-07-17,71.6,71.95,68.0,68.47,26877200
2015-07-24,68.32,68.45,65.46,65.94,25106700
2015-07-31,56.04,58.05,53.81,55.99,83309400
2015-08-07,55.89,56.73,52.59,56.35,49401700
2015-08-14,56.98,57.81,53.68,54.36,39822500
2015-08-21,54.37,56.44,51.2,51.5,39015000
2015-08-28,47.88,52.93,45.5,50.37,47507700
2015-09-04,50.59,51.66,46.55,48.05,31328100
2015-09-11,48.75,49.43,47.01,48.65,22378000
2015-09-18,48.47,50.16,48.27,49.59,30405500
2015-09-25,49.4,49.59,42.14,43.61,38504800
2015-10-02,43.13,43.83,39.16,43.66,60308700
2015-10-09,43.75,44.47,41.01,42.55,35964300
2015-10-16,43.18,43.77,41.27,43.55,34265400
2015-10-23,44.04,44.25,37.59,40.96,55047800
2015-10-30,40.9,48.04,40.4,44.09,51815700
2015-11-06,44.87,47.49,44.2,44.96,44704700
2015-11-13,45.1,49.49,42.56,48.78,79187800
2015-11-20,48.86,52.46,48.4,51.87,45885100
2015-11-27,51.86,52.45,50.18,51.74,24373800
2015-12-04,51.71,54.5,50.15,51.41,36184000
2015-12-11,51.23,53.28,50.13,52.56,31582800
2015-12-18,53.64,55.3,51.85,53.17,37769800
2015-12-25,53.52,55.15,53.17,54.82,13421300
2016-01-01,54.48,55.51,53.58,54.07,11018900
2016-01-08,52.88,54.44,49.26,49.42,31534700
2016-01-15,50.06,51.65,48.03,49.71,31613500
2016-01-22,50.57,53.41,48.74,53.11,21539400
2016-01-29,52.96,54.23,49.5,52.69,24083500
2016-02-05,51.92,53.21,49.33,51.39,24385200
2016-02-12,50.81,51.73,40.04,41.83,70808000
2016-02-19,42.27,47.05,41.94,45.34,33567600
2016-02-26,46.35,47.97,44.86,47.14,23222400
2016-03-04,47.0,47.04,44.3,44.78,25710800
2016-03-11,44.89,48.71,44.56,48.6,28418900
2016-03-18,48.4,48.43,43.65,45.05,30471600
