Date,Open,High,Low,Close,Volume
2015-02-27,34.41,35.19,34.17,34.53,3589300
2015-03-06,35.68,35.99,34.22,35.38,5703400
2015-03-13,35.36,36.57,34.97,36.47,3045200
2015-03-20,36.54,37.08,35.86,37.02,4486100
2015-03-27,36.89,37.11,35.91,36.39,3650600
2015-04-03,36.66,37.6,36.33,36.75,2604300
2015-04-10,36.31,36.87,35.66,36.17,3435600
2015-04-17,36.36,36.75,34.88,35.25,4831700
2015-04-24,35.46,36.28,35.29,35.96,2678900
2015-05-01,35.95,36.74,35.34,35.38,3287400
2015-05-08,35.39,36.97,35.39,36.91,4824400
2015-05-15,36.85,38.17,36.75,37.46,4216100
2015-05-22,37.53,38.24,37.53,37.65,2209200
2015-05-29,37.42,38.05,36.98,37.89,2556100
2015-06-05,38.06,39.08,37.6,39.06,3061700
2015-06-12,39.09,40.5,38.9,40.08,2887400
2015-06-19,39.66,41.34,38.78,38.94,7500700
2015-06-26,39.37,40.71,39.14,40.53,4366900
2015-07-03,39.88,40.41,38.95,39.13,3098800
2015-07-10,38.56,39.97,38.35,39.75,3563100
2015-07-17,39.97,40.6,38.63,39.11,3996700
2015-07-24,39.26,39.91,38.52,38.53,3460400
2015-07-31,38.14,39.0,37.38,38.66,3269900
2015-08-07,38.57,39.74,38.03,38.32,2500100
2015-08-14,38.6,38.96,37.29,38.42,2567100
2015-08-21,38.21,38.92,35.55,36.07,3335200
2015-08-28,33.92,35.63,30.97,35.34,6350300
2015-09-04,35.24,35.52,33.75,34.53,2778400
2015-09-11,35.12,35.98,34.89,35.64,1807800
2015-09-18,35.64,36.81,34.33,34.69,2588300
2015-09-25,35.01,36.16,34.53,35.51,2837600
2015-10-02,35.36,35.8,34.17,35.3,3560200
2015-10-09,35.61,38.08,35.4,37.59,5177200
2015-10-16,37.44,38.1,34.69,35.19,6634800
2015-10-23,34.94,37.15,34.91,37.14,3084100
2015-10-30,37.01,38.76,36.51,37.1,3584900
2015-11-06,37.32,40.01,37.05,39.49,3691600
2015-11-13,39.65,39.75,37.12,37.29,3345900
2015-11-20,37.19,39.25,37.11,38.7,3541300
2015-11-27,38.62,40.16,38.58,39.94,3045700
2015-12-04,40.12,40.72,38.97,40.0,3110100
2015-12-11,39.77,39.97,36.99,37.69,3610100
2015-12-18,37.79,39.08,36.67,37.01,5208600
2015-12-25,37.12,38.22,36.36,37.89,2485900
2016-01-01,37.67,38.44,37.18,37.19,1463300
2016-01-08,36.74,36.8,33.89,33.95,5853400
2016-01-15,34.24,34.41,32.28,33.35,5045500
2016-01-22,33.66,33.84,31.08,31.89,6624800
2016-01-29,31.71,33.17,30.09,33.17,5701100
2016-02-05,32.92,33.89,31.87,33.08,4902700
2016-02-12,32.59,33.51,30.64,32.51,4641200
2016-02-19,33.01,34.72,32.47,33.46,3196600
2016-02-26,33.84,34.76,31.75,34.29,3426500
2016-03-04,34.32,36.62,33.6,36.53,2968900
2016-03-11,36.27,37.18,35.17,37.09,2484700
2016-03-18,36.98,37.16,35.18,36.89,4011200
2016-03-25,36.88,37.02,34.84,35.44,3407900
2016-04-01,35.66,36.61,34.86,35.75,2941400
2016-04-08,35.69,36.06,34.58,35.02,3386000
2016-04-15,35.28,37.8,35.01,37.1,2558500
2016-04-22,36.75,37.67,35.67,37.24,4892300
2016-04-29,37.08,37.7,36.26,36.64,2743500
2016-05-06,36.66,37.08,34.08,34.71,3627000
2016-05-13,34.74,35.87,34.37,34.55,3680600
2016-05-20,34.57,37.42,34.57,37.19,5533800
2016-05-27,37.11,39.11,36.37,39.08,4026500
2016-06-03,39.27,39.61,37.78,38.45,3513000
2016-06-10,38.56,39.59,37.59,37.75,3807900
2016-06-17,37.46,37.69,34.99,35.22,8417700
2016-06-24,35.68,36.62,33.39,33.77,7095700
2016-07-01,32.54,33.96,31.29,33.39,8625700
2016-07-08,33.06,34.33,31.45,33.98,3114300
2016-07-15,34.38,37.12,34.23,36.21,4188400
2016-07-22,36.1,36.45,35.18,36.03,5155600
2016-07-29,35.94,36.42,35.36,35.96,3777100
2016-08-05,36.08,37.1,35.46,37.05,3378500
2016-08-12,37.11,37.35,36.21,36.61,2764800
2016-08-19,36.75,37.56,36.64,37.48,2816500
2016-08-26,37.29,38.42,37.21,38.25,2564500
2016-09-02,38.3,38.92,37.99,38.87,2834800
2016-09-09,38.95,38.97,37.87,38.22,2467800
2016-09-16,37.99,38.29,37.09,37.6,3304400
2016-09-23,37.83,38.73,37.49,38.45,2810100
2016-09-30,38.2,38.4,37.2,38.01,3725700
2016-10-07,37.7,38.9,37.53,38.52,2899500
2016-10-14,38.79,39.08,36.98,37.31,2107100
2016-10-21,37.27,39.08,36.96,39.02,2589000
2016-10-28,39.83,40.73,39.49,40.23,3149400
2016-11-04,40.36,40.76,39.62,39.83,3422900
2016-11-11,40.57,48.14,40.08,47.68,6728200
2016-11-18,47.87,49.14,45.6,47.04,10362300
2016-11-25,47.24,49.45,46.84,49.1,2226600
2016-12-02,48.86,51.31,48.38,51.31,5381700
2016-12-09,51.66,55.8,51.64,54.21,4125200
2016-12-16,53.97,54.29,52.54,53.48,3999500
2016-12-23,53.43,54.96,52.69,54.61,2721900
2016-12-30,54.67,55.15,53.85,54.28,1465700
2017-01-06,54.41,55.51,53.7,54.39,2456200
2017-01-13,53.84,54.86,52.64,53.93,3276400
2017-01-20,53.31,53.65,50.99,52.34,3459000
2017-01-27,52.2,55.04,51.51,54.11,2900600
2017-02-03,53.57,54.1,51.39,53.68,4129800
2017-02-10,53.06,53.42,50.85,52.62,2996300
2017-02-17,52.94,55.94,52.85,55.88,3211900
2017-02-24,56.06,56.39,54.87,55.19,1732300
2017-03-03,55.17,57.5,54.42,56.11,3373300
2017-03-10,55.59,56.53,53.01,53.84,3415200
2017-03-17,53.84,55.08,53.16,54.03,3703200
2017-03-24,53.94,53.94,48.99,49.77,5226700
2017-03-31,48.54,50.88,47.59,50.04,5458500
2017-04-07,50.2,50.55,48.2,48.61,4047700
2017-04-14,48.65,49.11,46.94,46.99,2275900
2017-04-21,47.14,50.89,46.85,50.26,4363800
2017-04-28,51.76,53.48,50.75,50.81,4410100
2017-05-05,51.25,52.68,50.31,52.17,3908800
2017-05-12,52.17,52.76,48.91,49.71,4158100
2017-05-19,49.86,50.33,47.69,48.82,2933400
2017-05-26,49.04,50.5,48.49,49.52,2195500
2017-06-02,49.33,50.38,47.91,49.42,2493500
2017-06-09,49.51,54.15,48.66,53.74,3256300
2017-06-16,53.91,54.96,52.4,52.88,4489800
2017-06-23,53.33,53.73,50.02,50.13,12304500
2017-06-30,50.43,53.18,49.98,52.22,5323500
2017-07-07,52.8,55.04,52.66,54.07,3323200
2017-07-14,53.91,54.4,52.02,53.16,3078600
2017-07-21,53.07,53.93,50.47,50.88,5352400
2017-07-28,50.99,53.21,50.99,52.15,5752400
2017-08-04,52.28,52.57,50.4,51.01,2873600
2017-08-11,51.04,51.61,47.7,47.93,2122600
2017-08-18,48.67,49.58,45.82,46.5,3691200
2017-08-25,46.47,47.78,46.11,47.52,2188700
2017-09-01,47.62,47.71,46.19,47.11,2070200
2017-09-08,46.62,46.62,44.04,45.29,1940200
2017-09-15,46.03,48.75,46.03,47.98,3103200
2017-09-22,48.11,50.52,48.04,50.33,2203200
2017-09-29,50.08,53.18,50.08,52.55,2958300
2017-10-06,52.55,53.78,51.78,53.01,2543000
2017-10-13,53.15,53.55,52.08,52.81,1672400
2017-10-20,52.89,55.95,52.27,55.27,2820400
2017-10-27,55.32,56.05,54.34,55.7,2162300
2017-11-03,55.41,55.43,53.8,54.96,2475400
2017-11-10,54.47,54.79,51.68,52.29,2236300
2017-11-17,52.05,53.34,51.86,53.23,1504600
2017-11-24,53.25,54.12,53.0,53.03,967100
2017-12-01,53.09,58.79,53.01,56.94,2803900
2017-12-08,58.15,59.25,56.1,56.74,2397900
2017-12-15,56.76,57.49,55.44,56.56,6023900
2017-12-22,57.22,57.93,55.86,56.69,2116300
2017-12-29,56.62,57.03,56.02,56.16,1865800
2018-01-05,56.51,57.89,55.76,57.42,2105700
2018-01-12,57.43,59.76,56.82,59.58,2490000
2018-01-19,59.73,59.86,58.3,58.9,2110700
2018-01-26,58.84,60.32,57.52,57.66,3417600
2018-02-02,57.6,58.28,55.62,56.89,2524800
2018-02-09,55.92,57.02,51.69,53.39,3047700
2018-02-16,53.46,57.5,53.01,57.18,2243500
2018-02-23,56.97,58.43,55.25,56.42,2637900
2018-03-02,56.48,57.28,53.29,54.98,2702700
2018-03-09,54.62,57.33,53.71,57.08,2398700
2018-03-16,57.29,58.32,56.48,57.49,3671100
2018-03-23,57.39,58.31,52.93,53.1,3584600
2018-03-30,53.91,56.48,53.53,55.4,2459400
2018-04-06,55.39,56.66,53.58,54.64,2152400
2018-04-13,55.13,56.83,54.71,55.47,1198300
2018-04-20,55.79,59.9,54.49,59.4,3996800
2018-04-27,59.75,61.08,59.25,60.73,2410300
2018-05-04,60.95,62.16,59.01,61.58,2828000
2018-05-11,61.78,64.11,61.1,63.73,1548300
2018-05-18,63.96,65.07,63.45,64.52,2132000
2018-05-25,64.72,66.64,63.89,64.93,1835700
2018-06-01,63.73,65.4,62.86,65.18,2490800
2018-06-08,65.21,67.81,64.94,67.7,2145100
2018-06-15,67.56,67.86,65.27,66.25,3085800
2018-06-22,65.86,67.81,65.37,66.19,2348200
2018-06-29,66.01,66.05,63.5,63.7,2408400
2018-07-06,63.38,64.78,63.37,64.24,1231400
2018-07-13,64.79,66.17,63.85,64.1,2796500
2018-07-20,64.4,67.66,64.07,66.96,2929400
2018-07-27,67.05,69.63,66.31,66.79,2594100
2018-08-03,66.87,67.13,64.15,65.77,2930300
2018-08-10,65.68,67.77,65.34,66.91,1832000
2018-08-17,66.87,68.08,65.74,67.52,2039700
2018-08-24,67.54,68.62,66.82,67.08,1576400
2018-08-31,67.4,67.73,64.51,65.38,2924300
2018-09-07,65.4,66.04,63.54,64.29,2221000
2018-09-14,64.62,65.28,61.55,62.51,2944000
2018-09-21,62.5,62.87,61.19,61.62,2854100
2018-09-28,61.46,61.51,58.34,58.96,2457900
2018-10-05,59.3,62.49,57.67,60.55,3522500
2018-10-12,60.67,63.34,56.58,58.22,4180900
2018-10-19,58.11,62.83,57.34,62.15,3835100
2018-10-26,62.36,62.52,57.24,58.31,3248600
2018-11-02,58.93,60.24,57.83,59.84,3692700
2018-11-09,59.47,61.49,58.55,60.38,2286600
2018-11-16,60.41,61.37,58.31,60.76,1498500
2018-11-23,60.71,61.22,57.9,58.96,973300
2018-11-30,59.72,60.5,58.05,60.17,1933800
2018-12-07,60.89,60.98,53.82,54.25,2219500
2018-12-14,54.45,54.93,50.2,50.36,2873600
2018-12-21,50.09,51.79,46.94,47.14,3983500
2018-12-28,46.59,49.4,45.38,48.7,2049000
2019-01-04,48.79,51.41,48.17,50.97,2505400
2019-01-11,50.79,51.51,48.44,51.0,3405100
2019-01-18,50.66,54.99,50.35,54.73,3164700
2019-01-25,54.51,57.6,53.66,57.23,3670100
2019-02-01,56.51,57.6,52.82,54.8,3333100
2019-02-08,54.88,56.73,54.47,55.37,2351700
2019-02-15,54.88,55.99,54.19,55.89,1936400
2019-02-22,55.44,57.1,55.44,56.74,1469100
2019-03-01,57.09,58.25,56.07,58.03,2397800
2019-03-08,58.05,58.18,54.68,55.08,2032800
2019-03-15,55.19,55.92,54.88,55.2,2029100
2019-03-22,55.45,56.71,48.67,48.81,3189500
2019-03-29,48.86,51.63,48.45,50.67,2148900
2019-04-05,50.94,54.0,50.94,53.79,2366700
2019-04-12,53.7,54.93,52.08,54.84,1642500
2019-04-19,54.96,55.08,50.29,51.66,3163000
2019-04-26,51.69,53.41,51.26,52.85,2503000
2019-05-03,53.14,54.3,52.09,53.59,1882800
2019-05-10,52.47,53.92,50.68,51.83,1703800
2019-05-17,50.77,51.05,48.46,49.07,2216200
2019-05-24,48.77,49.99,46.53,47.75,3135200
2019-05-31,47.68,47.85,43.95,44.28,3630400
2019-06-07,44.27,47.95,44.23,46.61,3018900
2019-06-14,46.94,47.48,45.58,46.48,2650200
2019-06-21,46.43,47.36,45.05,45.89,2662000
2019-06-28,45.71,48.03,44.88,47.77,3272300
2019-07-05,48.77,49.08,46.01,47.42,1695200
2019-07-12,46.95,47.62,45.31,47.45,2373300
2019-07-19,47.53,50.31,45.32,49.52,5994400
2019-07-26,49.4,51.61,48.42,51.26,3351500
2019-08-02,51.17,51.73,47.97,48.35,4459300
2019-08-09,47.64,48.23,45.35,48.03,3377100
2019-08-16,47.3,48.92,44.73,45.93,2871200
2019-08-23,46.73,46.85,43.54,43.63,2829100
2019-08-30,44.12,44.87,42.62,44.76,2753900
2019-09-06,44.24,45.85,43.33,45.32,1812600
2019-09-13,45.78,49.54,45.44,49.26,2787100
2019-09-20,48.58,49.67,47.69,48.38,2502000
2019-09-27,48.06,48.96,47.07,47.27,2378000
2019-10-04,47.4,47.57,42.62,44.69,2737900
2019-10-11,44.6,45.68,42.29,45.24,2322900
2019-10-18,44.94,47.1,44.59,46.92,1917400
2019-10-25,47.53,47.93,43.39,45.02,6924000
2019-11-01,45.52,46.48,43.5,45.63,4359900
2019-11-08,46.14,48.94,45.94,48.63,3579700
2019-11-15,48.13,48.49,46.89,48.28,1751800
2019-11-22,48.0,48.39,47.16,47.78,2142800
2019-11-29,47.95,49.45,47.8,48.69,1746100
2019-12-06,49.08,50.42,47.34,49.75,2328300
2019-12-13,49.73,53.06,49.52,52.32,2229000
2019-12-20,52.99,54.04,52.6,53.29,2706800
2019-12-27,53.45,53.73,52.81,52.87,847700
2020-01-03,53.12,53.71,52.12,53.16,1508800
2020-01-10,52.51,53.6,51.74,52.55,1671400
2020-01-17,52.83,53.52,51.64,52.75,2258800
2020-01-24,52.29,52.51,47.65,48.9,2997100
2020-01-31,47.68,48.11,44.82,44.86,2927100
2020-02-07,45.25,49.27,45.25,46.99,3130300
2020-02-14,46.41,47.78,46.28,46.72,1672600
2020-02-21,46.61,47.99,45.75,46.2,1825800
2020-02-28,44.45,45.23,37.16,37.97,5091700
2020-03-06,38.02,40.69,33.55,34.27,5824100
2020-03-13,31.55,33.37,25.5,29.87,6438700
2020-03-20,25.4,26.62,18.58,20.2,7898700
2020-03-27,20.19,22.49,18.16,21.05,6782900
2020-04-03,21.6,23.68,19.85,21.23,6591500
2020-04-10,23.01,27.56,22.04,26.67,5967700
2020-04-17,26.63,26.63,21.59,23.65,4892000
2020-04-24,23.11,24.54,22.2,23.81,4695200
2020-05-01,23.96,29.98,23.85,27.12,4821100
2020-05-08,26.45,27.05,24.18,25.88,4322700
2020-05-15,25.27,25.3,19.76,22.03,4777700
2020-05-22,23.48,25.52,23.46,24.79,3514000
2020-05-29,26.44,30.27,26.03,28.3,5093800
