Date,Open,High,Low,Close,Volume
2015-03-27,75.88,76.61,69.24,70.09,14891027
2015-04-03,70.54,70.74,67.89,70.29,12078065
2015-04-10,69.66,72.93,69.41,72.48,13144534
2015-04-17,73.42,75.8,72.0,75.16,15071220
2015-04-24,75.15,77.15,74.64,75.4,10479748
2015-05-01,75.25,75.53,70.93,75.08,19376526
2015-05-08,75.12,75.53,71.09,72.96,12288685
2015-05-15,73.12,74.57,71.72,73.82,10060224
2015-05-22,73.48,74.38,71.34,71.98,9323710
2015-05-29,71.99,75.4,69.92,73.59,13537201
2015-06-05,73.77,74.22,71.25,71.71,8970867
2015-06-12,71.54,72.03,69.09,70.3,10520497
2015-06-19,69.71,70.58,68.71,68.8,11825504
2015-06-26,69.32,69.47,63.39,63.83,15260275
2015-07-03,62.97,63.1,59.16,61.13,19426271
2015-07-10,60.33,60.57,57.86,58.28,17381575
2015-07-17,57.75,60.17,57.38,59.66,19226894
2015-07-24,59.61,59.96,57.84,58.4,14642170
2015-07-31,58.03,66.86,57.45,65.05,27594604
2015-08-07,65.15,65.61,62.94,63.12,15007980
2015-08-14,63.75,64.32,60.91,62.36,13417865
2015-08-21,62.0,63.39,59.59,60.05,15229979
2015-08-28,58.83,62.34,56.27,61.44,19906916
2015-09-04,61.38,62.85,59.89,60.48,14826465
2015-09-11,61.78,64.08,60.14,60.87,11436938
2015-09-18,61.3,62.29,57.24,57.35,19328236
2015-09-25,57.6,58.53,52.46,53.27,19488452
2015-10-02,52.71,61.03,51.3,60.05,32944420
2015-10-09,60.66,65.06,60.27,65.0,17068949
2015-10-16,65.14,65.3,59.72,60.11,22920711
2015-10-23,62.15,62.53,52.21,52.41,56858173
2015-10-30,52.59,52.89,49.95,50.51,29588631
2015-11-06,50.53,52.16,49.99,51.32,25867561
2015-11-13,51.32,51.47,45.44,45.53,30460885
2015-11-20,45.67,48.98,45.53,46.64,24554749
2015-11-27,46.86,47.5,45.78,46.66,9901861
2015-12-04,46.89,48.93,46.41,48.81,23923545
2015-12-11,48.07,48.8,45.73,46.92,19877547
2015-12-18,46.95,47.61,44.32,44.49,24000411
2015-12-25,44.76,46.85,43.79,46.27,14667572
2016-01-01,46.04,46.67,44.77,45.39,9576271
2016-01-08,44.84,46.08,41.41,41.87,18996560
2016-01-15,42.24,42.5,34.69,35.71,41318613
2016-01-22,36.38,36.48,32.59,33.82,31565061
2016-01-29,33.82,38.62,31.96,36.27,48843308
2016-02-05,35.99,38.67,34.61,34.66,34090271
2016-02-12,34.29,34.35,29.21,31.05,35955700
2016-02-19,31.45,33.89,31.43,33.35,22864219
2016-02-26,33.81,35.03,31.43,33.17,34917807
2016-03-04,32.55,37.6,32.21,36.93,36507391
2016-03-11,36.44,38.75,34.92,37.7,36564016
2016-03-18,37.36,37.64,33.82,37.05,40618350
2016-03-25,37.15,39.06,35.31,36.37,31161942
2016-04-01,35.99,36.76,33.94,35.22,37177623
2016-04-08,35.08,35.53,32.06,32.58,37702986
2016-04-15,33.11,34.38,30.11,30.6,48553835
2016-04-22,30.61,33.89,30.31,33.0,33447161
2016-04-29,32.99,35.96,29.48,30.89,54004728
2016-05-06,30.7,31.36,27.72,28.17,57109941
2016-05-13,28.31,29.24,26.45,26.79,51989138
2016-05-20,26.78,30.51,26.45,29.9,42365900
2016-05-27,29.86,34.67,29.86,34.01,48654384
2016-06-03,34.41,37.02,33.93,36.11,35748783
2016-06-10,36.02,37.84,35.09,35.41,39069645
2016-06-17,35.26,35.9,34.07,35.22,28916679
2016-06-24,36.31,38.75,35.82,36.16,38806368
2016-07-01,35.9,35.9,31.47,35.12,52157026
2016-07-08,35.05,37.35,32.89,37.3,33201744
2016-07-15,37.41,39.95,36.85,39.05,32226296
2016-07-22,39.05,39.62,38.25,39.61,23036076
2016-07-29,39.61,41.24,35.56,35.91,45461059
2016-08-05,36.05,36.05,33.07,34.33,40674047
2016-08-12,34.75,35.02,32.57,33.49,26166956
2016-08-19,33.61,35.74,33.58,35.22,26355351
2016-08-26,35.1,35.93,34.2,35.47,21641766
2016-09-02,35.45,36.05,34.54,35.5,19116557
2016-09-09,35.6,41.13,35.4,38.99,47994338
2016-09-16,38.55,42.29,37.87,41.53,38906785
2016-09-23,41.84,42.99,40.9,42.28,27176801
2016-09-30,42.03,45.25,41.95,44.2,37672823
2016-10-07,44.61,45.71,43.29,44.35,30017151
2016-10-14,44.85,45.15,40.61,41.45,30763190
2016-10-21,41.44,42.12,39.38,40.11,24358680
2016-10-28,40.3,46.84,40.14,44.75,46522238
2016-11-04,44.78,45.31,41.01,41.59,22886181
2016-11-11,42.64,44.97,41.61,44.51,32246141
2016-11-18,44.34,46.05,43.55,46.05,30267330
2016-11-25,46.18,47.12,45.58,46.55,13362962
2016-12-02,46.13,49.88,46.13,47.88,31974264
2016-12-09,48.48,52.61,45.94,51.18,46651494
2016-12-16,51.16,52.03,49.19,50.78,23022846
2016-12-23,50.9,54.43,50.66,53.17,22870437
2016-12-30,52.68,53.79,51.1,51.36,15005599
2017-01-06,52.12,54.52,51.84,53.2,19904271
2017-01-13,53.59,54.85,52.23,53.67,23100639
2017-01-20,53.47,55.53,53.46,54.9,21899751
2017-01-27,55.14,61.73,53.74,60.11,52651829
2017-02-03,59.92,61.0,58.81,59.81,22450119
2017-02-10,59.71,60.2,57.55,58.47,20108146
2017-02-17,58.96,59.46,56.13,56.62,24990808
2017-02-24,56.64,57.11,54.99,56.42,17496014
2017-03-03,56.38,59.83,55.96,58.61,28909666
2017-03-10,58.18,58.65,55.23,56.69,20372481
2017-03-17,56.59,58.86,56.29,58.1,17960122
2017-03-24,58.12,61.3,53.95,59.09,32412178
2017-03-31,58.37,63.7,58.07,62.38,30285983
2017-04-07,62.43,64.53,60.85,64.38,24399031
2017-04-14,64.55,66.52,62.75,63.11,31741681
2017-04-21,63.17,64.11,62.4,62.82,20849687
2017-04-28,63.92,68.78,63.08,67.32,52118395
2017-05-05,66.52,68.59,65.1,68.57,31744855
2017-05-12,68.28,68.52,66.84,67.76,18819675
2017-05-19,67.68,67.86,63.59,65.5,20606784
2017-05-26,66.98,68.64,65.25,68.03,24164199
2017-06-02,68.09,69.92,67.79,69.18,20631391
2017-06-09,69.12,69.49,63.64,65.01,25833957
2017-06-16,64.11,68.38,62.09,65.85,29363985
2017-06-23,66.62,71.81,66.26,70.55,29038131
2017-06-30,71.05,71.74,66.73,66.97,33147369
2017-07-07,67.27,67.46,63.84,65.71,22838551
2017-07-14,65.66,72.19,65.24,71.38,30703391
2017-07-21,71.16,72.39,70.63,71.67,17416237
2017-07-28,71.76,72.33,63.57,64.23,34701628
2017-08-04,65.09,65.56,60.21,61.35,35822210
2017-08-11,61.35,62.54,59.19,60.39,24916192
2017-08-18,61.17,64.96,61.06,62.89,22753351
2017-08-25,62.72,68.56,61.72,68.22,25890052
2017-09-01,68.81,69.64,66.09,68.34,26012165
2017-09-08,68.03,68.91,65.2,65.76,18477019
2017-09-15,66.28,67.57,62.98,66.91,33025653
