Date,Open,High,Low,Close,Volume
2015-03-27,78.93,80.35,77.17,77.78,10382900
2015-04-03,78.03,78.77,76.78,77.83,8741800
2015-04-10,78.12,79.6,75.86,76.19,10090300
2015-04-17,76.06,76.64,74.92,75.26,7269200
2015-04-24,75.34,76.34,75.0,75.86,5921200
2015-05-01,76.02,76.58,71.53,72.26,10163500
2015-05-08,72.59,73.16,70.49,72.16,10282900
2015-05-15,71.95,72.65,69.77,72.41,11205900
2015-05-22,72.0,72.24,70.25,70.86,8775300
2015-05-29,71.0,71.33,70.0,70.26,8906100
2015-06-05,70.42,71.47,67.77,67.81,13750700
2015-06-12,67.87,68.89,67.61,67.96,8665100
2015-06-19,67.83,69.53,67.32,68.74,12587900
2015-06-26,69.04,69.04,65.7,66.38,11504700
2015-07-03,66.38,67.63,65.37,66.23,10680100
2015-07-10,65.88,69.47,65.88,68.75,10839800
2015-07-17,69.21,69.53,66.98,67.3,11035500
2015-07-24,67.26,68.09,66.6,67.82,8012000
2015-07-31,67.82,70.19,67.76,69.37,10029800
2015-08-07,69.31,70.22,66.83,68.0,12632300
2015-08-14,68.12,68.61,66.92,67.93,14159100
2015-08-21,68.05,69.77,68.02,68.42,11908200
2015-08-28,66.31,66.96,62.99,65.08,17331300
2015-09-04,64.99,65.0,61.0,61.42,11049800
2015-09-11,62.2,63.18,61.6,62.81,7714200
2015-09-18,63.07,68.38,62.61,67.36,13265300
2015-09-25,67.43,68.48,67.15,67.65,10765600
2015-10-02,67.47,68.46,65.72,68.23,10930700
2015-10-09,68.44,69.82,68.15,69.26,9144100
2015-10-16,69.26,69.68,67.33,69.3,8165300
2015-10-23,69.25,71.25,68.0,68.48,9559800
2015-10-30,68.23,68.47,64.05,64.87,15179800
2015-11-06,64.74,66.14,60.53,61.02,15056400
2015-11-13,60.75,61.03,58.19,58.21,15949900
2015-11-20,58.21,61.75,58.2,61.67,13446300
2015-11-27,62.29,63.39,61.86,63.19,8880700
2015-12-04,63.18,64.98,62.28,63.65,17462300
2015-12-11,63.67,64.98,62.5,63.21,12574300
2015-12-18,62.99,66.47,62.76,65.25,14178200
2015-12-25,65.93,67.24,65.06,67.03,5626500
2016-01-01,66.99,68.76,66.66,68.03,5535300
2016-01-08,67.77,70.45,67.11,68.09,15090000
2016-01-15,68.41,69.22,65.22,66.32,14050900
2016-01-22,66.97,68.44,63.7,67.75,9741900
2016-01-29,67.68,68.44,60.33,62.22,22768700
2016-02-05,61.9,63.91,61.55,63.12,13797900
2016-02-12,63.0,63.23,52.8,54.4,23472800
2016-02-19,55.06,60.05,54.38,59.2,17249500
2016-02-26,59.53,63.69,59.16,63.5,13026500
2016-03-04,63.48,67.27,63.38,66.19,12678300
2016-03-11,65.75,67.16,64.31,66.55,12888200
2016-03-18,66.38,67.94,64.76,67.14,12321800
2016-03-25,66.97,67.5,65.86,66.96,7566400
2016-04-01,66.97,69.94,66.84,69.16,10618400
2016-04-08,69.39,70.15,68.53,69.29,9491800
2016-04-15,69.47,70.32,69.18,69.81,8463500
2016-04-22,69.86,71.33,66.55,68.27,9669900
2016-04-29,68.21,70.32,68.0,69.42,7679500
2016-05-06,69.68,74.6,69.47,73.57,15017400
2016-05-13,73.9,74.96,70.6,71.77,14002000
2016-05-20,71.75,73.18,67.7,68.55,14333600
2016-05-27,68.81,69.75,67.52,69.27,9292300
2016-06-03,69.32,71.52,68.41,71.32,11105100
2016-06-10,71.21,72.43,69.61,72.14,11430400
2016-06-17,72.24,74.73,72.12,74.25,17009300
2016-06-24,74.5,74.51,71.15,72.49,13705300
2016-07-01,72.15,77.18,71.9,76.2,11519200
2016-07-08,76.02,76.75,74.28,75.62,8627400
2016-07-15,75.78,77.01,75.0,76.5,7989500
2016-07-22,76.63,79.14,76.38,78.75,5985200
2016-07-29,78.9,79.99,76.25,79.33,7849600
2016-08-05,79.32,80.19,75.92,76.38,9639300
2016-08-12,76.5,79.42,76.11,78.36,9774500
2016-08-19,78.46,78.71,76.07,76.26,8305400
2016-08-26,76.46,77.58,75.14,75.78,7144100
2016-09-02,76.09,77.72,75.98,76.7,7821000
2016-09-09,76.95,78.19,73.51,73.75,9546600
2016-09-16,73.63,75.1,72.78,73.19,10955600
2016-09-23,73.64,76.83,72.34,76.4,12740400
2016-09-30,75.92,77.18,74.72,74.77,10709700
2016-10-07,74.46,74.85,69.11,69.54,12993700
2016-10-14,69.6,70.69,68.64,69.43,7577900
2016-10-21,69.59,71.13,69.21,70.5,7818900
2016-10-28,70.85,71.7,67.62,68.45,7125700
2016-11-04,68.89,69.15,64.24,65.14,16398100
2016-11-11,65.98,66.28,59.39,61.52,19369600
2016-11-18,61.36,65.15,60.62,62.49,12635400
2016-11-25,62.75,63.17,61.38,62.64,7825100
2016-12-02,62.66,64.27,61.08,62.78,14545400
2016-12-09,62.73,66.46,62.07,65.67,11697500
2016-12-16,65.51,66.73,63.05,65.18,16223400
2016-12-23,65.73,67.2,64.45,65.51,7040800
2016-12-30,65.56,67.07,65.02,66.93,5421200
2017-01-06,67.11,68.68,65.83,68.45,8292300
2017-01-13,68.6,68.86,65.71,66.66,10567800
2017-01-20,67.08,67.64,65.81,66.76,7294500
2017-01-27,66.85,67.99,65.68,65.94,8225300
2017-02-03,66.06,67.02,65.13,65.43,9396500
2017-02-10,65.56,66.67,65.05,65.87,8343400
2017-02-17,66.0,66.89,64.63,65.92,8333300
