Date,Open,High,Low,Close,Volume
2015-03-27,20.35,20.56,19.23,19.62,21599300
2015-04-03,19.42,20.1,18.76,19.19,17600000
2015-04-10,19.82,19.96,19.03,19.59,16628600
2015-04-17,19.59,19.84,18.94,19.46,17550300
2015-04-24,19.36,19.69,18.95,19.16,14944300
2015-05-01,19.44,20.92,19.34,20.17,26162900
2015-05-08,20.54,20.77,19.21,19.86,17741300
2015-05-15,19.9,21.12,19.86,20.47,17380300
2015-05-22,20.58,20.7,19.3,19.36,14527100
2015-05-29,19.08,19.22,18.49,19.07,13374100
2015-06-05,19.2,19.51,18.5,18.68,10554300
2015-06-12,18.73,18.89,18.29,18.36,10190200
2015-06-19,18.36,19.18,18.15,18.2,15625200
2015-06-26,18.04,18.35,17.54,17.72,13212500
2015-07-03,17.7,17.75,16.93,17.34,12130700
2015-07-10,17.21,17.77,14.93,15.12,31364100
2015-07-17,14.99,15.24,13.5,13.69,23802800
2015-07-24,13.16,13.5,12.07,12.92,41969300
2015-07-31,12.87,13.45,12.51,13.08,31875000
2015-08-07,13.03,13.2,12.24,12.7,27787900
2015-08-14,12.84,14.15,12.58,13.59,34145000
2015-08-21,13.86,14.28,13.4,13.57,24885500
2015-08-28,13.11,13.19,11.22,12.39,38214600
2015-09-04,12.17,12.49,11.18,11.4,25407900
2015-09-11,11.53,11.89,11.03,11.62,21093200
2015-09-18,11.41,12.85,11.03,12.4,35429200
2015-09-25,12.31,12.57,11.54,12.43,21289900
2015-10-02,12.09,12.81,11.46,12.77,26545000
2015-10-09,12.92,14.72,12.83,14.46,39978600
2015-10-16,14.7,14.95,13.55,14.3,30429600
2015-10-23,14.23,14.47,13.4,14.38,23137500
2015-10-30,14.47,15.37,13.59,13.59,25718200
2015-11-06,13.51,14.5,12.31,12.53,32103100
2015-11-13,12.55,12.75,12.14,12.4,20307600
2015-11-20,12.44,13.1,11.91,12.55,18328400
2015-11-27,12.47,12.97,12.35,12.59,10516200
2015-12-04,12.67,14.09,12.67,13.98,20155300
2015-12-11,13.71,13.8,12.86,13.31,14515200
2015-12-18,13.25,13.32,11.93,12.36,22263600
2015-12-25,12.57,13.07,12.35,12.92,9949900
2016-01-01,12.75,12.75,12.19,12.42,9376200
2016-01-08,12.71,13.1,12.05,12.77,19935300
2016-01-15,12.85,12.89,10.84,11.15,29011800
2016-01-22,11.25,11.25,10.04,10.58,19200500
2016-01-29,10.75,11.84,10.5,11.76,19376400
2016-02-05,11.87,14.17,11.63,14.12,26355800
2016-02-12,14.64,15.36,13.5,15.24,38440700
2016-02-19,14.68,16.21,14.5,15.55,23714200
2016-02-26,15.26,16.32,15.1,15.41,24112400
2016-03-04,15.5,17.73,14.98,16.47,29161600
2016-03-11,16.65,17.48,15.86,17.01,25771300
2016-03-18,17.23,18.5,16.36,17.78,27324300
2016-03-25,17.69,18.3,16.85,17.23,19712500
2016-04-01,17.23,17.97,15.85,16.41,40330100
2016-04-08,16.48,16.7,15.7,16.5,31165300
2016-04-15,16.87,17.95,16.52,17.05,40619700
2016-04-22,17.02,19.8,16.72,18.39,48127200
2016-04-29,18.45,21.0,18.17,20.95,35816100
2016-05-06,21.08,21.14,18.57,19.5,37636600
2016-05-13,18.85,19.62,17.93,19.21,29048200
2016-05-20,19.63,20.45,18.08,19.13,29811500
2016-05-27,18.71,19.41,17.87,18.2,24227600
2016-06-03,18.13,20.43,18.06,20.39,19695100
2016-06-10,20.45,22.19,20.08,21.21,29857200
2016-06-17,21.71,21.81,19.91,20.92,33974300
2016-06-24,20.39,21.85,20.37,21.29,27090900
2016-07-01,21.51,24.95,21.34,24.78,38778600
2016-07-08,25.15,25.9,24.17,25.79,35837100
2016-07-15,25.59,26.41,25.22,26.02,28751700
2016-07-22,25.84,26.56,25.24,26.15,23862900
2016-07-29,25.83,28.08,24.81,27.87,29604100
2016-08-05,28.01,29.59,27.88,28.81,29091600
2016-08-12,28.8,31.35,28.77,30.47,26409800
2016-08-19,30.5,31.09,29.2,29.26,26802800
2016-08-26,28.65,29.24,25.64,26.56,39812400
2016-09-02,26.25,27.49,24.75,27.44,33077300
2016-09-09,28.26,29.46,27.16,27.31,24206000
2016-09-16,26.54,28.15,26.16,26.6,30564500
2016-09-23,26.99,29.53,26.51,27.82,25327000
2016-09-30,28.18,28.29,26.85,27.03,19029200
2016-10-07,26.95,27.23,22.12,22.58,34623600
2016-10-14,22.9,23.65,22.36,22.86,20347500
2016-10-21,22.93,24.69,22.89,24.33,20522300
2016-10-28,24.56,24.61,23.04,23.44,18891200
2016-11-04,23.51,25.27,23.27,23.8,24388600
2016-11-11,23.18,24.97,17.78,17.92,41799700
2016-11-18,17.54,20.15,17.16,18.72,36156100
2016-11-25,18.98,19.18,17.95,18.07,18998400
2016-12-02,18.33,19.0,17.61,18.69,24307400
2016-12-09,18.4,19.6,18.0,18.56,24080100
2016-12-16,18.78,19.61,16.94,17.36,38280400
2016-12-23,17.4,17.77,16.96,17.55,17963100
2016-12-30,17.73,20.89,17.67,19.32,25589600
2017-01-06,19.36,21.06,19.27,20.3,22042300
2017-01-13,20.73,20.79,19.63,20.47,24422200
2017-01-20,21.06,21.46,20.31,21.22,17340600
2017-01-27,21.52,22.2,20.82,21.42,22163000
2017-02-03,21.58,22.68,21.1,22.21,19280800
2017-02-10,22.57,23.06,21.74,22.29,20158500
2017-02-17,22.06,22.41,21.46,21.53,21181300
2017-02-24,21.19,21.84,20.55,21.15,16966800
2017-03-03,21.11,21.32,18.96,19.44,29945000
2017-03-10,19.3,19.36,18.68,19.3,17862600
2017-03-17,19.4,20.63,18.89,19.9,21497300
2017-03-24,19.97,21.68,19.72,20.54,30368400
2017-03-31,21.02,21.25,20.2,20.84,20757800
2017-04-07,20.72,21.61,20.69,20.94,15357700
2017-04-14,20.82,22.11,20.56,21.84,14689200
2017-04-21,21.9,22.28,21.0,21.09,18096300
2017-04-28,20.78,21.25,19.76,19.97,24859100
2017-05-05,19.86,20.03,18.75,19.48,18456300
2017-05-12,19.56,20.65,18.93,20.65,18910600
2017-05-19,21.02,22.0,20.57,21.08,12595700
2017-05-26,21.15,21.73,20.27,20.89,10452700
2017-06-02,20.55,20.96,20.25,20.38,6922100
2017-06-09,20.46,20.99,19.84,20.09,9359800
2017-06-16,20.0,20.4,18.92,19.12,12825000
2017-06-23,18.98,20.23,18.98,20.22,7942200
2017-06-30,20.09,20.43,19.71,19.89,12390200
2017-07-07,19.45,19.66,18.86,18.97,11243100
2017-07-14,18.84,19.93,18.77,19.46,12787900
2017-07-21,19.65,20.27,19.42,20.0,10344300
2017-07-28,20.02,20.61,19.31,20.51,13215400
2017-08-04,20.46,20.61,19.43,19.56,10498600
2017-08-11,19.56,20.25,18.72,19.04,19809200
2017-08-18,18.88,19.22,18.32,18.9,14790500
2017-08-25,19.0,19.7,18.84,19.57,8841400
2017-09-01,19.64,21.02,19.5,20.96,16706400
2017-09-08,21.14,21.2,20.5,20.76,9857000
2017-09-15,20.46,20.75,19.44,19.59,13126800
2017-09-22,19.32,19.69,18.77,19.23,11948200
2017-09-29,19.15,19.43,19.0,19.09,10719600
2017-10-06,19.05,19.91,19.04,19.91,11691100
2017-10-13,20.0,20.45,19.74,20.32,9787400
2017-10-20,20.35,20.92,19.75,20.91,10106800
2017-10-27,20.66,21.09,20.16,20.69,15295300
2017-11-03,20.58,21.32,20.14,20.47,11251100
2017-11-10,20.62,21.47,19.87,20.14,12781200
2017-11-17,20.21,21.17,20.02,20.92,14013400
2017-11-24,20.84,21.58,20.43,21.24,7716400
2017-12-01,21.44,21.51,20.45,20.98,11158800
2017-12-08,20.77,21.27,20.58,20.99,12558300
2017-12-15,20.9,21.83,20.71,21.55,13808300
2017-12-22,21.7,22.21,21.53,22.03,7276700
2017-12-29,22.07,22.3,21.76,22.13,6224500
2018-01-05,22.23,22.52,21.82,21.95,9048500
2018-01-12,21.83,22.04,20.87,21.9,13875600
2018-01-19,22.0,22.38,21.73,22.02,8786500
2018-01-26,22.02,22.72,21.41,22.16,11481900
2018-02-02,22.0,22.08,21.06,21.13,12063600
2018-02-09,21.1,21.35,18.67,19.02,30118900
2018-02-16,19.12,20.18,19.09,19.69,16409900
2018-02-23,19.33,19.9,19.22,19.55,6800300
2018-03-02,19.66,19.8,18.74,19.32,11160800
2018-03-09,19.5,20.28,19.16,19.72,9493100
2018-03-16,19.66,20.13,19.49,19.72,10183600
2018-03-23,19.69,20.72,19.12,20.4,14748400
2018-03-30,20.41,20.55,19.98,20.37,7502000
2018-04-06,20.49,20.84,20.09,20.6,8505300
2018-04-13,20.61,21.4,20.35,21.24,9744900
2018-04-20,21.25,21.93,21.14,21.31,7751100
2018-04-27,21.1,21.4,20.78,21.35,6531900
2018-05-04,21.22,21.41,20.61,21.32,7042900
2018-05-11,21.3,21.99,21.15,21.86,6373100
2018-05-18,21.98,22.04,21.32,21.66,6388800
2018-05-25,21.74,22.13,21.54,21.88,6004600
2018-06-01,21.48,22.1,21.38,21.91,5462300
2018-06-08,21.99,22.25,21.66,22.17,8047500
2018-06-15,22.15,22.34,21.94,22.15,8755300
2018-06-22,22.05,22.24,21.38,21.69,7050900
2018-06-29,21.54,22.18,21.3,22.06,6636100
2018-07-06,21.98,22.86,21.86,22.68,5862800
2018-07-13,22.81,22.87,21.91,22.0,6175000
2018-07-20,21.95,22.19,21.18,21.31,9415900
2018-07-27,21.31,21.5,20.87,20.94,7808400
2018-08-03,20.92,21.34,20.69,21.18,6671000
2018-08-10,21.0,21.21,20.62,20.83,6814600
2018-08-17,20.61,20.75,17.61,18.43,17153900
2018-08-24,18.59,18.69,17.57,18.13,12475000
2018-08-31,18.23,18.29,17.04,17.18,9724800
2018-09-07,16.92,16.95,15.61,15.93,13170000
2018-09-14,15.93,16.17,15.18,15.95,15524800
2018-09-21,16.22,17.2,15.95,16.92,17632500
2018-09-28,17.03,17.72,16.58,17.5,18891200
2018-10-05,17.46,17.55,16.84,17.05,12955700
2018-10-12,16.84,18.14,16.8,17.38,16499200
2018-10-19,17.63,18.01,17.32,17.41,12101000
2018-10-26,17.31,17.67,16.12,16.4,15707400
2018-11-02,16.34,17.3,16.18,17.15,11373700
2018-11-09,17.11,17.15,15.88,16.28,11477600
2018-11-16,16.18,16.25,15.08,16.13,19970400
2018-11-23,16.11,16.46,15.56,15.85,8683000
2018-11-30,15.9,16.16,15.25,15.64,11045800
2018-12-07,16.0,16.65,15.73,16.55,9207500
2018-12-14,16.45,19.65,16.2,18.94,24366900
2018-12-21,18.84,20.18,18.73,18.91,26929800
2018-12-28,19.13,19.64,18.77,19.35,10062100
2019-01-04,19.48,19.71,19.17,19.36,8076100
2019-01-11,19.58,19.64,18.98,19.31,7951700
2019-01-18,19.31,19.56,18.77,19.01,7494800
2019-01-25,18.96,19.62,18.54,19.57,6517600
2019-02-01,19.58,21.12,19.33,21.1,13443600
2019-02-08,20.7,21.45,20.65,21.36,9669500
2019-02-15,21.14,21.44,20.76,21.31,8127800
2019-02-22,21.5,22.59,21.47,22.39,9833200
2019-03-01,22.4,22.6,21.33,21.38,9643700
2019-03-08,21.23,22.13,21.14,22.1,8432300
2019-03-15,22.1,22.68,21.74,22.58,14306400
2019-03-22,22.6,24.58,22.33,24.5,15880100
2019-03-29,24.55,25.24,23.54,23.82,18758800
2019-04-05,23.95,24.13,23.08,23.44,18526200
2019-04-12,23.75,23.96,22.94,23.12,10523900
2019-04-19,23.03,23.46,21.58,21.96,10796400
2019-04-26,21.93,22.31,21.27,22.11,9704800
2019-05-03,22.06,22.1,20.67,20.86,15678800
2019-05-10,20.78,21.2,19.89,20.13,12904200
2019-05-17,20.26,20.65,19.75,20.07,9973400
2019-05-24,20.09,20.4,19.73,20.3,7568100
2019-05-31,20.12,22.26,20.1,22.1,9727400
2019-06-07,22.5,23.23,21.95,22.91,12624500
2019-06-14,22.54,23.31,22.13,22.99,8041000
2019-06-21,22.9,24.65,22.9,24.15,11985400
2019-06-28,24.41,25.22,23.79,24.18,13693900
2019-07-05,23.53,24.02,22.94,23.46,7475600
2019-07-12,23.73,24.25,23.22,24.11,9706100
2019-07-19,24.15,27.07,23.81,26.73,17648600
2019-07-26,26.88,27.5,26.76,27.06,13000900
2019-08-02,27.04,27.66,25.36,26.12,15316300
2019-08-09,26.76,28.19,26.16,27.74,18574300
2019-08-16,27.93,27.97,25.89,26.49,18502500
2019-08-23,26.0,28.74,25.97,28.73,15107500
2019-08-30,28.9,30.22,28.59,29.41,14922600
2019-09-06,29.91,30.9,28.79,28.8,14041200
2019-09-13,28.75,29.06,26.68,26.71,16364200
2019-09-20,27.28,27.56,26.43,27.4,10800400
2019-09-27,27.77,28.53,26.54,26.75,11873300
2019-10-04,26.29,27.52,25.78,26.98,9456500
2019-10-11,26.73,27.58,26.18,26.23,7961800
