Date,Open,High,Low,Close,Volume
2015-04-03,26.39,26.78,26.03,26.72,2767700
2015-04-10,26.73,27.45,26.44,26.94,2665400
2015-04-17,26.86,27.09,26.37,26.66,2218600
2015-04-24,26.78,27.43,26.6,27.34,1860600
2015-05-01,27.53,27.53,26.5,26.71,2801900
2015-05-08,26.76,27.19,26.04,26.49,3168000
2015-05-15,26.42,26.69,25.89,26.51,2489700
2015-05-22,26.42,26.88,26.34,26.56,2515200
2015-05-29,26.46,26.73,26.17,26.32,1903300
2015-06-05,26.37,26.98,25.62,25.7,3685100
2015-06-12,25.86,25.97,25.38,25.4,2963300
2015-06-19,25.34,25.42,24.76,25.12,5298600
2015-06-26,25.28,25.32,24.59,24.78,2719000
2015-07-03,24.63,25.26,24.4,25.06,3849700
2015-07-10,24.98,25.73,24.96,25.41,3164900
2015-07-17,25.5,25.91,25.37,25.52,1958200
2015-07-24,25.54,25.63,24.66,24.9,2676600
2015-07-31,24.88,25.72,24.86,25.44,3621300
2015-08-07,25.45,25.84,25.18,25.74,3383500
2015-08-14,25.8,26.5,25.76,26.46,3239000
2015-08-21,26.47,27.1,26.3,26.4,3900400
2015-08-28,25.4,25.91,24.6,25.64,5295700
2015-09-04,25.56,25.59,24.52,24.61,3778700
2015-09-11,24.85,25.18,24.45,25.02,2868900
2015-09-18,25.05,26.25,25.0,25.98,4539800
2015-09-25,26.0,26.65,25.75,26.36,4346000
2015-10-02,26.36,26.71,25.98,26.7,3896000
2015-10-09,26.8,27.2,26.62,27.13,4120600
2015-10-16,27.13,28.18,27.13,28.17,3046100
2015-10-23,28.09,28.79,28.09,28.52,3757200
2015-10-30,28.56,28.75,28.1,28.6,4166900
2015-11-06,28.63,29.46,28.05,28.29,4302900
2015-11-13,28.33,29.15,28.06,28.34,3085700
2015-11-20,28.34,29.37,28.19,29.3,2545800
2015-11-27,29.25,29.53,28.72,29.34,2210100
2015-12-04,29.41,29.79,29.02,29.55,3517200
2015-12-11,29.54,30.06,28.9,29.01,2764800
2015-12-18,28.98,31.09,28.83,30.51,5351900
2015-12-25,29.9,30.22,28.91,29.83,4080300
2016-01-01,29.72,30.62,29.62,29.8,3373700
2016-01-08,29.79,29.94,28.84,29.23,4089400
2016-01-15,29.41,29.84,28.35,28.99,4181800
2016-01-22,29.1,29.9,28.45,29.79,3341000
2016-01-29,29.8,31.53,29.44,31.53,5668200
2016-02-05,31.48,32.34,31.29,31.56,5067100
2016-02-12,31.56,32.26,31.22,31.57,4404900
2016-02-19,31.69,31.74,30.94,31.23,3779900
2016-02-26,31.34,31.68,30.65,30.65,4072000
2016-03-04,30.57,31.59,30.45,31.56,4251400
2016-03-11,31.47,31.96,31.29,31.72,3398700
2016-03-18,31.73,32.15,31.2,31.5,4312800
2016-03-25,31.51,31.68,31.22,31.45,2956800
2016-04-01,31.41,32.44,31.41,31.93,3646300
2016-04-08,31.94,32.06,31.2,31.62,3064300
2016-04-15,31.74,31.95,31.04,31.92,3600300
2016-04-22,31.9,32.36,30.31,30.83,4110600
2016-04-29,30.88,31.72,30.78,31.66,4212300
2016-05-06,31.73,32.9,31.65,32.49,4404100
2016-05-13,32.53,32.93,32.36,32.68,3077300
2016-05-20,32.59,32.83,30.83,31.6,3241200
2016-05-27,31.6,32.34,31.37,32.32,3606000
2016-06-03,32.25,33.53,32.16,33.36,2992600
2016-06-10,33.36,34.04,32.92,33.81,2350900
2016-06-17,33.9,34.31,33.71,33.83,3357800
2016-06-24,33.79,34.27,33.14,34.08,5315100
2016-07-01,34.03,35.83,33.88,35.29,4460100
2016-07-08,35.25,35.79,33.93,34.61,3789900
2016-07-15,34.58,34.58,33.81,34.03,3363300
2016-07-22,34.03,34.62,33.88,34.56,2319200
2016-07-29,34.59,34.86,34.0,34.64,4014000
2016-08-05,34.56,34.84,33.09,33.12,2948600
2016-08-12,33.09,33.26,32.43,32.58,3157000
2016-08-19,32.66,32.7,31.06,31.46,3273800
2016-08-26,31.48,31.82,30.84,30.87,2506400
2016-09-02,31.0,31.3,30.24,30.98,4310600
2016-09-09,31.07,31.6,29.89,29.89,3147700
2016-09-16,29.9,30.27,29.53,30.07,4371900
2016-09-23,30.17,31.94,30.14,31.53,4192800
2016-09-30,31.56,31.7,30.42,30.48,3669100
2016-10-07,30.46,30.53,28.92,29.11,5069100
2016-10-14,29.11,29.96,29.02,29.56,3167700
2016-10-21,29.58,30.06,29.27,29.54,3159600
2016-10-28,29.87,30.05,29.57,29.83,3751800
2016-11-04,29.95,30.78,29.0,29.0,6768600
2016-11-11,29.22,29.99,28.03,29.12,4709100
2016-11-18,28.86,29.77,28.57,29.55,4851500
2016-11-25,29.72,30.93,29.48,30.6,3088300
2016-12-02,30.76,31.29,29.33,29.74,4386000
2016-12-09,29.6,30.22,29.24,30.1,3752500
2016-12-16,29.87,30.98,29.51,30.11,4366300
2016-12-23,30.21,30.51,29.97,30.22,2091700
2016-12-30,30.07,30.25,29.71,30.04,2093700
2017-01-06,30.0,30.65,29.68,30.3,2679000
2017-01-13,30.38,30.38,29.65,30.28,2596200
2017-01-20,30.38,30.71,29.54,29.65,2859100
2017-01-27,29.72,30.38,29.41,30.12,2796800
2017-02-03,30.04,30.42,29.53,30.05,3465800
2017-02-10,29.99,30.38,29.8,30.36,1955800
2017-02-17,30.24,30.3,29.56,30.23,1970600
2017-02-24,30.12,31.18,30.05,31.04,2018000
2017-03-03,31.03,32.15,30.92,31.65,3930100
2017-03-10,31.5,31.55,30.38,30.86,2044500
2017-03-17,31.13,32.21,31.03,32.07,4181400
2017-03-24,32.15,32.23,31.49,31.85,2577500
2017-03-31,32.11,32.32,31.61,32.15,3249000
2017-04-07,32.18,32.56,31.92,32.36,2785900
2017-04-14,32.42,32.87,32.22,32.7,2454000
2017-04-21,32.7,33.24,32.49,33.21,3321700
2017-04-28,33.3,33.69,32.77,33.09,5649500
2017-05-05,33.11,33.15,31.56,32.16,3558600
2017-05-12,32.2,32.3,31.25,31.76,2959800
2017-05-19,31.65,31.86,31.18,31.68,2777900
