Date,Open,High,Low,Close,Volume
2015-03-27,34.45,34.56,32.74,33.05,15823400
2015-04-03,33.21,33.56,32.6,32.64,13601500
2015-04-10,32.55,32.75,32.05,32.25,19526500
2015-04-17,32.21,32.35,31.47,31.55,17029400
2015-04-24,31.65,32.47,31.51,32.33,20280400
2015-05-01,32.37,32.45,31.16,32.01,22105300
2015-05-08,31.95,32.81,31.06,32.53,21252300
2015-05-15,32.4,32.67,31.83,32.34,17072500
2015-05-22,32.32,32.91,31.97,32.73,16813800
2015-05-29,32.6,33.06,32.41,32.56,17590700
2015-06-05,32.59,32.8,31.43,31.46,26508700
2015-06-12,31.48,32.36,31.21,32.06,13337400
2015-06-19,31.95,33.1,31.89,32.57,26461800
2015-06-26,32.68,32.79,31.76,32.07,13001900
2015-07-03,31.97,32.34,31.35,31.84,10199700
2015-07-10,31.6,32.16,31.24,31.29,12509100
2015-07-17,31.45,31.69,30.33,30.48,18270800
2015-07-24,30.44,30.66,29.76,29.77,11968700
2015-07-31,29.71,31.37,29.63,30.69,18688800
2015-08-07,30.67,31.3,30.46,31.06,14886100
2015-08-14,31.22,31.34,30.35,31.19,19273500
2015-08-21,31.14,31.22,29.96,29.97,15382200
2015-08-28,29.26,29.42,26.84,28.24,35767000
2015-09-04,28.18,28.26,27.2,27.37,18920500
2015-09-11,27.77,27.77,26.88,27.32,16253900
2015-09-18,27.37,29.15,27.01,28.26,24411200
2015-09-25,28.31,28.42,27.04,27.2,15212000
2015-10-02,27.11,27.62,26.73,27.45,15087300
2015-10-09,27.53,28.88,27.5,28.85,15572000
2015-10-16,28.77,29.47,28.53,29.42,15986100
2015-10-23,29.34,30.31,28.98,30.03,13970600
2015-10-30,30.06,30.08,28.74,29.33,19124900
2015-11-06,29.79,31.49,29.44,30.4,24649800
2015-11-13,28.76,29.95,28.72,29.25,44158900
2015-11-20,29.25,32.29,29.24,32.19,35061500
2015-11-27,32.15,32.55,31.58,32.37,11924600
2015-12-04,32.33,32.72,31.21,32.05,23659700
2015-12-11,31.95,31.98,30.33,30.48,15475900
2015-12-18,30.4,31.01,29.51,29.51,23738200
2015-12-25,29.68,30.87,29.27,30.72,12282000
2016-01-01,30.64,30.93,29.84,29.98,8923000
2016-01-08,29.51,30.03,27.84,27.9,21062800
2016-01-15,27.98,28.14,25.53,25.82,29802200
2016-01-22,26.23,26.25,23.73,25.42,27243900
2016-01-29,25.3,25.62,24.26,25.61,33056200
2016-02-05,25.44,26.22,23.9,23.99,32346500
2016-02-12,23.86,23.88,22.06,22.6,33568400
2016-02-19,22.97,24.44,22.66,22.87,46752500
2016-02-26,23.19,26.0,23.11,25.59,55135600
2016-03-04,25.58,27.91,25.5,27.44,39753400
2016-03-11,27.33,28.8,27.27,28.72,32539500
2016-03-18,28.53,30.49,28.53,30.09,38505100
2016-03-25,30.07,30.82,29.83,30.34,19136900
2016-04-01,30.42,31.38,30.25,31.15,27855200
2016-04-08,31.11,31.45,30.21,31.24,26632300
2016-04-15,31.3,31.92,31.17,31.73,21893300
2016-04-22,31.55,32.36,31.52,32.26,21927600
2016-04-29,32.19,32.56,31.85,32.12,18603900
2016-05-06,32.26,32.44,30.54,31.61,26620300
2016-05-13,31.26,31.49,30.67,30.86,30433300
2016-05-20,30.74,31.17,29.99,30.42,27802400
2016-05-27,30.55,31.65,30.42,31.48,17271700
2016-06-03,31.56,31.72,31.04,31.12,15731100
2016-06-10,31.14,31.38,30.01,30.59,20510000
2016-06-17,30.58,30.71,28.08,28.69,32259100
2016-06-24,29.12,29.52,27.72,27.73,38303900
2016-07-01,27.48,30.19,26.55,30.12,42355500
2016-07-08,29.89,30.89,29.52,30.67,26803300
2016-07-15,30.73,32.26,30.66,32.03,24569800
2016-07-22,31.98,32.5,31.9,32.43,13730900
2016-07-29,32.35,33.07,32.12,32.72,20516700
2016-08-05,32.72,33.17,31.88,32.88,16931800
2016-08-12,32.74,33.01,31.66,31.86,14837100
2016-08-19,31.91,32.16,30.88,31.18,15284100
2016-08-26,31.12,31.97,30.79,31.1,14256300
2016-09-02,31.4,32.24,31.24,31.85,15394900
2016-09-09,32.54,32.54,30.29,30.31,16790400
2016-09-16,30.15,31.12,29.66,29.91,19887200
2016-09-23,30.11,32.32,29.73,32.18,20061200
2016-09-30,31.96,32.59,31.47,31.94,15987200
2016-10-07,32.0,32.03,30.42,31.0,17349700
2016-10-14,31.12,31.52,30.52,31.38,13525300
2016-10-21,31.47,32.09,31.02,31.29,12546100
2016-10-28,31.61,31.64,29.83,29.99,21453300
2016-11-04,29.98,30.13,28.58,28.65,21134000
2016-11-11,29.14,30.02,28.62,28.7,21745800
2016-11-18,28.84,31.19,28.75,31.13,22283900
2016-11-25,31.28,32.27,31.22,32.0,15560900
2016-12-02,31.91,32.06,30.58,31.05,21196000
2016-12-09,31.3,33.07,31.23,32.72,17864200
