Date,Open,High,Low,Close,Volume
2015-03-27,34.77,35.39,33.93,34.39,21053800
2015-04-03,34.45,35.01,34.3,34.76,11729400
2015-04-10,34.85,35.35,34.01,34.67,9314400
2015-04-17,34.56,34.89,33.87,34.37,10720300
2015-04-24,34.45,35.09,34.12,34.87,11299100
2015-05-01,34.97,35.01,33.51,33.96,15947200
2015-05-08,33.96,34.66,33.12,33.62,16015300
2015-05-15,33.55,33.98,32.71,33.75,17983500
2015-05-22,33.65,34.85,33.61,34.46,15484400
2015-05-29,34.3,34.31,33.8,34.05,11545800
2015-06-05,34.14,34.3,32.04,32.35,19990600
2015-06-12,32.39,32.85,32.21,32.7,17243900
2015-06-19,32.69,33.13,32.01,32.77,13258500
2015-06-26,32.62,32.86,31.76,32.24,13854900
2015-07-03,32.24,33.0,32.02,32.82,14205900
2015-07-10,32.79,34.01,32.64,33.55,14024900
2015-07-17,33.68,34.18,33.32,33.7,9982000
2015-07-24,33.65,33.7,32.73,32.86,12798000
2015-07-31,32.89,35.15,32.82,34.67,17954800
2015-08-07,34.69,35.4,34.07,35.25,14498600
2015-08-14,35.23,35.9,34.84,35.8,13953200
2015-08-21,35.82,36.48,35.56,35.56,15188500
2015-08-28,34.65,35.07,32.83,33.95,22489400
2015-09-04,33.82,33.86,32.44,32.63,24018300
2015-09-11,32.96,33.23,32.43,33.16,15477000
2015-09-18,33.16,34.24,32.73,33.63,17144200
2015-09-25,33.72,35.2,33.61,34.91,18449100
2015-10-02,34.85,35.49,34.49,35.33,15370800
2015-10-09,35.55,35.69,34.86,35.26,18783500
2015-10-16,35.29,36.71,35.23,36.43,12978600
2015-10-23,36.32,37.25,35.97,36.44,15907400
2015-10-30,36.49,36.88,35.05,35.63,16413300
2015-11-06,35.67,36.32,34.33,34.86,14325700
2015-11-13,34.71,36.32,34.6,35.01,19103200
2015-11-20,35.01,36.16,34.93,35.86,18510300
2015-11-27,35.93,36.03,35.2,35.64,10425900
2015-12-04,35.59,36.01,34.33,34.97,24110400
2015-12-11,34.94,35.53,34.47,34.94,22872600
2015-12-18,34.95,36.72,34.83,35.6,20410100
2015-12-25,35.79,35.92,34.81,35.74,12280300
2016-01-01,35.64,36.5,35.57,35.91,9333400
2016-01-08,35.61,36.75,35.19,36.18,18370000
2016-01-15,36.23,36.93,35.87,36.5,19607500
2016-01-22,36.73,37.35,35.91,36.63,20777100
2016-01-29,36.65,38.26,36.1,38.22,17387100
2016-02-05,38.09,39.63,36.25,39.53,30095300
2016-02-12,39.51,40.21,38.46,38.82,24680800
2016-02-19,38.92,39.82,38.43,39.33,15465600
2016-02-26,39.48,40.42,39.14,39.27,16140300
2016-03-04,39.21,40.08,38.26,39.94,23590100
2016-03-11,39.89,40.94,39.75,40.38,18520800
2016-03-18,40.37,41.61,40.09,41.06,16117300
2016-03-25,40.99,41.39,40.58,41.23,9507800
2016-04-01,41.34,42.02,41.05,41.94,12472900
2016-04-08,42.01,42.04,40.52,41.01,15330200
2016-04-15,41.03,41.23,40.37,40.83,12915100
2016-04-22,40.83,41.41,38.43,39.05,23295800
2016-04-29,38.95,40.1,38.81,40.03,18055700
2016-05-06,40.24,41.3,40.11,40.46,15521100
2016-05-13,40.5,41.98,40.48,41.71,16129800
2016-05-20,41.59,41.75,39.69,40.47,15191500
2016-05-27,40.56,41.07,40.04,40.92,11987300
2016-06-03,40.91,42.4,40.75,42.19,12205500
2016-06-10,42.18,42.9,41.81,42.75,12595400
2016-06-17,42.85,42.98,42.11,42.85,17341700
2016-06-24,42.88,43.67,42.25,43.3,17607500
2016-07-01,43.2,45.03,43.12,44.78,16677200
2016-07-08,44.78,45.42,43.68,44.59,15998500
2016-07-15,44.45,44.47,43.44,43.75,18232500
2016-07-22,43.75,44.41,43.33,44.32,14091600
2016-07-29,44.33,44.38,43.1,43.98,12572600
2016-08-05,43.85,44.13,42.56,42.67,16264200
2016-08-12,42.77,43.09,42.43,42.8,11888200
2016-08-19,42.86,42.97,41.29,42.42,16990500
2016-08-26,42.54,42.88,41.33,41.39,11212100
2016-09-02,41.52,41.91,41.07,41.71,12764000
2016-09-09,41.99,42.61,40.77,40.78,13161700
2016-09-16,40.8,41.53,40.34,41.2,16179800
2016-09-23,41.39,43.24,41.23,43.07,17551000
2016-09-30,43.01,43.49,40.92,41.14,18278500
2016-10-07,41.05,41.14,39.08,39.61,20109200
2016-10-14,39.68,40.62,39.32,40.05,15890000
2016-10-21,40.25,40.83,39.75,39.95,13170200
2016-10-28,40.14,40.81,39.87,40.68,12304900
2016-11-04,40.81,41.8,40.12,40.36,14295600
2016-11-11,40.59,41.75,38.0,38.84,22367100
2016-11-18,38.56,39.51,38.2,38.87,15262500
2016-11-25,38.93,39.61,38.7,39.52,10316800
2016-12-02,39.65,40.8,38.24,38.74,13333700
2016-12-09,38.57,39.88,38.22,39.85,12737200
2016-12-16,39.72,41.14,39.59,40.69,16001900
2016-12-23,40.83,41.2,40.29,40.67,9310400
2016-12-30,40.57,41.07,40.25,40.7,5319100
2017-01-06,40.74,41.06,40.32,40.92,8927000
2017-01-13,41.13,41.17,40.04,40.65,10153800
2017-01-20,40.87,41.43,40.72,41.07,9154500
2017-01-27,41.17,41.24,40.5,40.72,12482200
2017-02-03,40.84,41.7,40.43,41.45,13820500
2017-02-10,41.53,42.23,41.32,41.94,12804800
2017-02-17,41.98,42.14,41.16,42.0,10683600
2017-02-24,41.95,43.54,41.77,43.34,11287800
2017-03-03,43.39,44.1,43.01,43.72,12955900
2017-03-10,43.65,43.98,42.93,43.5,12560000
2017-03-17,43.15,44.3,43.03,43.85,13878500
2017-03-24,43.9,44.94,43.45,44.77,14504000
2017-03-31,44.87,45.06,44.08,44.45,13740900
2017-04-07,44.4,44.86,44.0,44.4,12588200
2017-04-14,44.43,45.03,44.17,44.82,8417700
2017-04-21,44.97,45.3,44.25,44.83,11128000
2017-04-28,44.88,45.44,44.57,45.05,11446400
2017-05-05,45.06,45.23,44.47,45.05,11507600
2017-05-12,45.16,45.63,44.63,45.58,12224000
2017-05-19,45.58,46.07,45.3,45.85,12519600
2017-05-26,45.72,47.41,45.71,47.3,9312000
2017-06-02,47.28,48.5,47.21,48.32,10497400
2017-06-09,48.36,48.38,46.94,47.35,14293800
2017-06-16,47.35,47.86,46.67,47.79,13172900
2017-06-23,47.85,47.85,47.05,47.13,11499100
2017-06-30,47.13,47.64,45.79,45.88,16510800
2017-07-07,46.03,46.06,45.18,45.69,11206300
2017-07-14,45.84,46.08,45.41,45.92,13182800
2017-07-21,45.97,47.42,45.85,47.42,17426400
2017-07-28,47.41,47.7,46.55,47.16,13009600
2017-08-04,47.14,48.12,46.96,47.97,11642600
2017-08-11,47.98,48.72,47.79,48.19,11049500
2017-08-18,48.2,49.22,48.19,49.0,8616100
2017-08-25,49.1,49.6,48.93,49.37,9966700
2017-09-01,49.49,49.7,49.19,49.36,10329400
2017-09-08,49.38,50.3,49.17,50.23,8925500
2017-09-15,50.13,50.56,48.59,49.08,15416100
2017-09-22,49.08,49.1,47.29,47.41,15288200
2017-09-29,47.43,47.97,46.69,47.32,15238500
2017-10-06,47.47,47.8,46.86,47.39,11670300
2017-10-13,47.47,49.08,47.37,48.61,15183400
2017-10-20,48.5,49.41,48.26,49.26,12461600
2017-10-27,49.31,49.83,48.56,49.21,15906900
2017-11-03,49.17,49.92,48.93,49.59,17920500
2017-11-10,49.63,50.57,49.29,50.2,17121900
2017-11-17,50.17,52.22,50.13,50.89,16092600
2017-11-24,50.92,51.05,50.35,50.71,7801100
2017-12-01,50.81,51.84,50.61,51.36,14788600
2017-12-08,51.46,51.58,50.4,51.2,12276600
2017-12-15,51.01,51.45,50.16,50.78,17264600
2017-12-22,50.83,50.86,48.12,48.25,19622100
2017-12-29,48.18,48.41,47.53,48.11,9720300
2018-01-05,48.22,48.36,46.63,46.79,13093300
2018-01-12,46.88,47.22,45.06,45.15,15977400
2018-01-19,45.11,45.86,44.89,45.13,16402500
2018-01-26,45.5,46.1,45.12,45.7,14946200
2018-02-02,45.54,45.78,44.45,44.48,17730100
2018-02-09,44.42,44.75,41.51,43.35,24679600
2018-02-16,43.54,44.88,43.04,44.68,19518500
2018-02-23,44.66,44.82,43.5,44.77,14944300
2018-03-02,44.84,44.92,42.65,43.03,20177000
2018-03-09,42.88,44.02,42.57,43.28,17545800
2018-03-16,43.25,44.23,43.23,44.13,21417600
2018-03-23,44.03,45.19,43.66,43.74,22327800
2018-03-30,43.9,45.87,43.81,45.48,15776000
2018-04-06,45.6,45.99,44.68,45.47,17276700
2018-04-13,45.45,45.8,43.93,44.48,15980500
2018-04-20,44.65,46.01,44.49,45.1,14608900
2018-04-27,45.25,47.38,45.12,47.1,16519000
2018-05-04,47.21,47.37,45.93,46.39,14925800
2018-05-11,46.45,46.54,44.58,45.26,13722400
2018-05-18,45.31,45.41,43.44,43.7,11545300
2018-05-25,43.73,45.3,43.28,45.19,12857400
2018-06-01,45.14,45.87,44.63,44.74,11088800
2018-06-08,44.72,44.93,42.27,42.72,14693000
2018-06-15,42.8,43.43,41.99,43.33,19346300
2018-06-22,43.29,44.39,43.25,43.85,17538000
2018-06-29,43.97,46.24,43.9,45.68,16902900
2018-07-06,45.84,47.08,45.7,46.96,9405600
2018-07-13,46.92,46.95,44.76,46.27,14943900
