Date,Open,High,Low,Close,Volume
2015-03-27,56.97,57.87,56.2,56.3,22253914
2015-04-03,56.33,57.46,56.18,57.36,14831955
2015-04-10,57.12,57.86,56.02,57.53,22828396
2015-04-17,57.33,58.38,56.61,57.33,23579259
2015-04-24,57.85,62.65,57.56,62.62,45426583
2015-05-01,62.62,66.13,61.55,66.07,41054948
2015-05-08,66.1,67.67,63.89,64.62,36487460
2015-05-15,64.67,67.65,64.04,67.55,23853007
2015-05-22,67.43,68.94,65.59,65.81,29244662
2015-05-29,65.77,66.76,64.55,64.78,18058518
2015-06-05,64.6,66.33,64.37,65.27,18898543
2015-06-12,65.1,66.2,64.82,65.5,13352904
2015-06-19,65.02,67.1,64.76,66.33,12911958
2015-06-26,66.59,67.06,65.56,66.68,15618009
2015-07-03,66.0,66.44,64.17,65.82,15722473
2015-07-10,65.14,65.49,61.24,65.32,37352802
2015-07-17,65.71,66.38,62.81,63.18,38185315
2015-07-24,63.26,64.64,62.1,62.34,19291502
2015-07-31,61.78,63.75,61.34,63.09,14867982
2015-08-07,63.29,64.46,62.27,62.98,10810714
2015-08-14,63.46,63.87,56.59,60.09,47897972
2015-08-21,59.57,62.35,56.94,57.3,51467416
2015-08-28,53.12,59.63,51.32,58.82,41034083
2015-09-04,58.22,58.46,55.72,56.71,20848030
2015-09-11,58.1,60.02,57.14,58.54,17070074
2015-09-18,58.36,60.32,57.4,57.62,22259756
2015-09-25,57.87,58.03,55.56,56.51,22864006
2015-10-02,56.07,58.88,54.09,58.66,31205276
2015-10-09,59.39,60.06,47.7,50.5,104916315
2015-10-16,50.68,51.96,48.88,51.88,43052979
2015-10-23,51.56,54.08,51.13,52.4,48462303
2015-10-30,52.19,53.54,50.68,50.98,23898493
2015-11-06,51.3,52.1,50.68,51.21,18135997
2015-11-13,50.81,50.81,47.94,49.94,34947345
2015-11-20,49.68,52.72,49.03,52.31,28825275
2015-11-27,52.34,52.68,51.49,52.45,12381152
2015-12-04,52.33,54.94,52.06,54.74,27500905
2015-12-11,54.59,55.1,50.99,51.26,30887015
2015-12-18,51.16,53.21,50.67,51.65,28757535
2015-12-25,51.77,53.67,51.77,53.2,19923709
2016-01-01,52.95,53.74,52.49,52.52,14024063
2016-01-08,51.27,52.62,48.86,48.99,32146010
2016-01-15,49.25,50.69,47.99,48.23,31940143
2016-01-22,48.48,50.24,47.79,49.59,30396132
2016-01-29,49.44,52.06,48.42,52.03,27009883
2016-02-05,51.7,53.11,49.96,50.15,63863870
2016-02-12,49.4,49.45,46.43,48.41,25242337
2016-02-19,49.01,51.52,49.01,50.7,21987816
2016-02-26,51.27,51.9,49.97,51.34,32430469
2016-03-04,51.27,56.36,51.2,56.11,30755149
2016-03-11,55.72,56.38,54.27,55.91,19236696
2016-03-18,55.84,57.12,55.3,56.3,21056681
2016-03-25,56.4,58.59,56.16,57.05,21266443
2016-04-01,57.42,59.53,57.07,59.14,17136286
2016-04-08,59.28,59.33,58.07,59.19,14634850
2016-04-15,59.29,59.45,58.03,58.84,18947923
2016-04-22,58.92,61.68,57.73,58.37,39329690
2016-04-29,58.36,59.0,56.83,57.2,16762524
2016-05-06,57.64,58.33,56.94,58.2,16345224
2016-05-13,58.25,59.71,57.68,57.73,12625273
2016-05-20,57.66,58.89,56.82,57.23,18260491
2016-05-27,57.33,59.97,56.31,59.37,22537539
2016-06-03,59.13,59.6,58.56,59.39,14376263
2016-06-10,59.44,60.63,59.14,59.31,16439394
2016-06-17,59.19,60.14,58.71,60.06,20530464
2016-06-24,60.75,61.77,58.65,59.06,20434763
2016-07-01,58.13,60.41,56.89,60.05,24335127
2016-07-08,59.88,62.11,59.6,61.65,18399174
2016-07-15,61.75,65.13,61.15,62.9,40524282
2016-07-22,63.05,64.95,62.52,64.77,18560947
2016-07-29,64.65,65.1,63.89,64.28,20705730
2016-08-05,64.13,64.65,63.03,63.8,14046736
2016-08-12,63.97,65.19,63.54,64.67,17445645
2016-08-19,64.65,65.33,64.16,64.21,13126589
2016-08-26,64.21,65.31,64.05,64.36,14510912
2016-09-02,64.63,66.13,64.48,65.61,15761143
2016-09-09,65.84,66.1,62.52,62.52,22548944
2016-09-16,62.39,63.86,62.01,63.29,28443307
2016-09-23,63.61,65.33,63.35,65.16,13096544
2016-09-30,64.86,65.78,64.16,65.28,21063774
2016-10-07,65.28,66.07,62.19,63.06,43323668
2016-10-14,63.3,65.19,62.78,64.11,34624078
2016-10-21,63.63,63.77,61.83,62.52,28515500
2016-10-28,62.57,63.26,61.16,61.62,18171607
2016-11-04,62.06,62.63,59.57,59.81,38976897
2016-11-11,60.65,62.2,60.23,60.7,26442400
2016-11-18,61.1,62.45,60.34,62.36,20382900
2016-11-25,62.33,63.45,61.88,63.34,8331000
2016-12-02,63.08,63.88,62.32,62.42,16946800
2016-12-09,62.59,64.81,62.56,64.49,12248700
2016-12-16,64.34,65.32,63.39,64.25,12953800
2016-12-23,64.21,64.56,63.6,63.81,7129500
2016-12-30,64.01,64.49,63.16,63.33,6531600
2017-01-06,63.56,64.83,62.82,64.42,14532400
2017-01-13,64.38,65.18,64.16,64.66,8380500
2017-01-20,64.26,64.69,63.83,64.58,6933900
2017-01-27,64.33,66.21,62.36,65.9,12395600
2017-02-03,65.83,66.53,64.69,66.23,10537000
2017-02-10,66.04,68.27,66.01,68.0,11385700
2017-02-17,68.14,68.98,67.79,68.4,12145600
2017-02-24,67.9,68.58,65.54,65.95,15854300
2017-03-03,65.93,66.01,64.42,65.03,11155300
2017-03-10,64.67,64.75,63.69,64.31,10140400
2017-03-17,64.31,64.6,63.25,63.87,16614500
2017-03-24,64.03,64.42,63.01,63.58,15008400
2017-03-31,63.12,64.73,62.85,63.9,17139800
2017-04-07,63.74,64.9,63.18,64.28,18204900
2017-04-14,64.24,64.61,63.54,63.79,7930800
2017-04-21,63.9,65.23,63.73,64.82,11275300
2017-04-28,65.22,66.69,65.17,65.75,12424500
2017-05-05,65.72,69.4,65.59,69.3,17001300
2017-05-12,69.03,69.43,68.47,68.9,11889100
2017-05-19,68.9,70.45,68.74,70.07,13896100
2017-05-26,70.25,72.52,70.0,72.09,9218800
2017-06-02,72.13,74.28,71.96,73.99,9208300
2017-06-09,73.98,74.5,72.88,73.1,11826300
2017-06-16,72.98,73.17,70.9,72.78,10678200
2017-06-23,72.91,75.35,72.83,74.82,11613100
2017-06-30,75.02,75.45,73.0,73.76,6580100
2017-07-07,73.6,74.04,72.38,73.49,10329300
2017-07-14,73.47,74.41,72.92,73.6,9858000
2017-07-21,73.49,75.18,73.05,74.74,6995800
2017-07-28,74.75,75.63,74.17,75.0,8534700
2017-08-04,75.3,76.62,74.19,75.03,11547500
2017-08-11,75.02,76.14,73.77,75.56,9409900
2017-08-18,76.1,77.13,75.0,75.41,8851700
2017-08-25,75.6,76.71,75.43,75.83,6091800
2017-09-01,76.13,77.48,75.68,76.63,7432400
2017-09-08,76.26,77.09,75.81,76.48,6407200
2017-09-15,76.82,78.14,75.22,75.25,12371100
2017-09-22,75.36,76.69,75.04,75.97,7880100
2017-09-29,75.57,75.57,72.61,73.61,13632700
2017-10-06,73.37,76.17,73.37,75.93,10008200
2017-10-13,75.95,77.03,75.61,76.2,7851400
2017-10-20,76.51,76.79,75.2,76.17,7192000
2017-10-27,76.27,76.38,74.18,75.24,9028800
2017-11-03,74.92,80.66,74.26,78.91,13191800
2017-11-10,79.01,81.65,78.79,79.59,10636700
2017-11-17,79.58,80.05,78.05,78.6,7581000
2017-11-24,78.72,79.76,78.47,79.18,4937900
2017-12-01,79.22,84.06,79.13,83.4,10136200
2017-12-08,83.77,84.29,82.78,83.32,9240400
2017-12-15,83.32,83.32,81.65,82.3,10591400
2017-12-22,82.81,83.52,82.0,82.4,6749600
2017-12-29,82.39,82.71,81.59,81.61,3739400
2018-01-05,82.15,83.01,81.13,82.84,8201000
2018-01-12,82.72,83.76,81.94,83.62,6917500
2018-01-19,84.07,84.34,82.64,83.81,5762600
2018-01-26,83.81,86.34,83.67,86.2,6934700
2018-02-02,86.09,86.93,82.44,82.63,11061700
2018-02-09,82.07,82.95,75.88,79.31,19214700
2018-02-16,79.25,80.35,76.32,78.25,13234700
